Decimal day (2018)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    144.198954525   1.9879290096253763    0.2461718446074455    2.7385193467601279    111564.497879874762    -3014.578393022595   -11547.406459423799        18.470        5 
    144.199301748   1.9758575442586839    0.2406257817833294    2.7197077617933068    113375.297793684251    -3228.872490910315   -12030.691439337927        18.656        5 
    144.199649144   1.9637834777750369    0.2350539435660287    2.7000842007123254    115216.209709889779    -3446.400688450281   -12536.621683158926        18.845        5 
    144.199996551   1.9517136876459187    0.2294630340481782    2.6795899904111713    117066.802289181476    -3634.017373630115   -13088.995809471013        19.035        5 
    144.200343947   1.9396487427209494    0.2238574717536166    2.6581498059801305    118970.497014111941    -3813.282576146928   -13644.995431927935        19.231        5 
    144.200691169   1.9275955662332027    0.2182453113794166    2.6356923026485477    120891.094319201453    -4009.797197670021   -14260.722315191368        19.430        5 
    144.201038576   1.9155422009377743    0.2126266176143840    2.6121022673381011    122869.326377382473    -4162.532108640724   -14873.139759435402        19.634        5 
    144.201385799   1.9035018930274243    0.2070140775977942    2.5873027493519314    124861.495911437814    -4284.362167500396   -15526.650503459810        19.840        5 
    144.201733194   1.8914627447783419    0.2014097449686696    2.5611559362328515    126892.948610583335    -4386.111286767420   -16201.100514914100        20.050        5 
    144.202080417   1.8794380241410462    0.1958285720369978    2.5335656671086708    128939.044227415172    -4444.694294984267   -16915.697893835473        20.262        5 
    144.202427639   1.8674221678396516    0.1902781634297141    2.5043830179462865    131011.720972855343    -4483.706886843840   -17651.617868381531        20.477        5 
    144.202775046   1.8554097059441168    0.1847677806582390    2.4734426570446897    133165.732685205585    -4490.458262796743   -18426.693819376553        20.701        5 
    144.203122269   1.8434139175942175    0.1793171784631042    2.4406143281554362    135310.765173483989    -4395.811732818576   -19235.976925646039        20.924        5 
    144.203469676   1.8314231011888178    0.1739368090805329    2.4056874339513530    137493.296075403370    -4291.360713709040   -20060.615449203080        21.152        5 
    144.203817072   1.8194443759723165    0.1686480995226222    2.3684887306253528    139712.090678003908    -4081.404681521351   -20946.209614566913        21.383        5 
    144.204164294   1.8074848268843624    0.1634750539709112    2.3288373915325464    141956.519117168646    -3783.213155088808   -21848.963196890796        21.618        5 
    144.204511701   1.7955328850830345    0.1584366879023389    2.2864806729384939    144235.735450470442    -3386.835202158789   -22782.425509445213        21.856        5 
    144.204858924   1.7836019291453336    0.1535660868766446    2.2412460092562676    146549.832058225526    -2899.870780398760   -23749.718809145746        22.099        5 
    144.205206319   1.7716805139988272    0.1488897816684041    2.1928707832281744    148902.400453582639    -2245.239640498276   -24733.680990110301        22.346        5 
    144.205553542   1.7597820301637062    0.1444482223067394    2.1412006510769501    151278.551504706469    -1475.768210608458   -25743.212694522488        22.596        5 
    144.205900764   1.7479013058572110    0.1402786445033724    2.0860306336183823    153698.009949642204     -537.509802511275   -26748.628637453337        22.851        5 
    144.206248171   1.7360332294438030    0.1364229667912314    2.0271890239846222    156133.138966641534      559.163823979565   -27742.206061159937        23.108        5 
    144.206595394   1.7241912685855973    0.1329328853441812    1.9646580625336061    158607.747082487418     1882.567610106005   -28715.097492780376        23.370        5 
    144.206942789   1.7123642470010831    0.1298556131130424    1.8983789131638609    161126.658924015297     3396.138428903741   -29624.871484665695        23.636        5 
    144.207290012   1.7005656353083309    0.1272472536949213    1.8285363170106761    163662.722620323184     5122.270160155960   -30477.789179847576        23.906        5 
    144.207637234   1.6887905269020993    0.1251594463577572    1.7553445566176311    166224.379414464376     7044.094880526714   -31226.951353963894        24.178        5 
    144.207984641   1.6770340666194032    0.1236433520524041    1.6791586053174834    168833.554459034320     9179.473230090916   -31836.022804039756        24.455        5 
    144.208331863   1.6653098030308191    0.1227484063204953    1.6006044692510044    171475.124697956227    11520.408588919028   -32336.786308723025        24.738        5 
    144.208679086   1.6536129678575060    0.1225150073227191    1.5203284284313778    174129.884117871232    13996.293592155922   -32672.777870262456        25.022        5 
    144.209026308   1.6419449576171175    0.1229756948374725    1.4391231595319467    176828.062025191175    16600.113092670716   -32809.887395233352        25.311        5 
    144.209373704   1.6303012057913417    0.1241531501546396    1.3578008075625299    179545.456665897480    19306.873042701503   -32771.203448725239        25.603        5 
    144.209721111   1.6186892709417038    0.1260576257655179    1.2772636399285022    182300.594369717204    22073.148123664439   -32557.175760369624        25.900        5 
    144.210068333   1.6071167391626435    0.1286862225690445    1.1983601160288617    185091.771579244349    24856.533176266967   -32214.261555087298        26.201        5 
    144.210415556   1.5955791604678065    0.1320277493517253    1.1217534458846177    187890.264003033022    27600.946051064824   -31711.769265671122        26.504        5 
    144.210762778   1.5840782113839320    0.1360612562371386    1.0480142736830615    190729.882010517817    30336.766587263071   -31124.865132382078        26.812        5 
    144.211110174   1.5726096421127309    0.1407615932208361    0.9775272482711902    193594.495805060171    33022.584443366803   -30467.800297862894        27.124        5 
    144.211457581   1.5611812380188856    0.1460944580615586    0.9106033748284462    196481.024685583106    35609.101531071574   -29769.267569104231        27.439        5 
    144.211804803   1.5498007471049151    0.1520218046878309    0.8474108776645913    199375.687989615661    38151.478787571985   -29055.401382413915        27.756        5 
    144.212152199   1.5384582297271157    0.1585143711530159    0.7879064428567014    202288.177941223868    40622.116680297440   -28341.564180453166        28.076        5 
    144.212499606   1.5271615743155875    0.1655344972350702    0.7320572769902602    205251.358042149834    42994.405545664245   -27722.492090065894        28.403        5 
    144.212846829   1.5159186605023671    0.1730451937278977    0.6797580074412448    208193.392363769031    45383.119022565377   -27045.540202700409        28.729        5 
    144.213194236   1.5047198625604359    0.1810236793405358    0.6307785050483783    211195.720111767121    47682.647644470984   -26538.617095610731        29.063        5 
    144.213541458   1.4935790302567453    0.1894337693888689    0.5849681150571178    214158.512021909642    49958.112680779661   -26007.319844545884        29.394        5 
    144.213888681   1.4824925295725864    0.1982544786529925    0.5420861554532498    217140.402887806937    52268.513273095668   -25563.881865610852        29.730        5 
    144.214236076   1.4714569429835813    0.2074684430152062    0.5018955013070968    220172.253296259732    54559.867662015480   -25203.893288984058        30.073        5 
    144.214583299   1.4604861385934351    0.2170464817539903    0.4642253774449285    223132.385179477860    56877.605775685777   -24985.101464026353        30.412        5 
    144.214930521   1.4495768006692662    0.2269761704402410    0.4288505622783308    226171.464647096465    59091.664924715711   -24746.777418233829        30.757        5 
    144.215277928   1.4387258454627576    0.2372481086622838    0.3955625512304322    229165.788255873427    61399.579905261642   -24627.555056931167        31.102        5 
    144.215625324   1.4279415682617096    0.2478443570700641    0.3642015131169084    232158.611192313023    63730.585327723886   -24615.054769336421        31.450        5 
    144.215972731   1.4172266762441348    0.2587539177424001    0.3346024662435639    235136.135336543230    66118.676977405907   -24706.278056825740        31.800        5 
    144.216319954   1.4065894572217881    0.2699614726823006    0.3066283514704324    238066.409920315986    68544.371771128543   -24874.823990438294        32.148        5 
    144.216667350   1.3960216909470180    0.2814706982561505    0.2801120487735102    241000.761427571357    71049.025786075217   -25148.842079854105        32.501        5 
    144.217014572   1.3855373184333410    0.2932628790096653    0.2549557564877794    243899.665816354478    73625.912188399074   -25487.852456341992        32.854        5 
    144.217361979   1.3751284315750396    0.3053446477279462    0.2310194022587449    246755.987989530084    76267.381730515146   -25929.602319830650        33.207        5 
    144.217709375   1.3648036547189002    0.3177052011828989    0.2082130810132967    249548.870270402171    79001.749264171638   -26449.145082583393        33.559        5 
    144.218056782   1.3545661671159843    0.3303406531985473    0.1864433276305124    252290.938001218077    81844.138094305206   -27067.734496875382        33.911        5 
    144.218404005   1.3444245419098937    0.3432410065236520    0.1656360018794467    254950.630243816704    84782.867938006253   -27728.115050946901        34.261        5 
    144.218751227   1.3343767837733971    0.3564101881613315    0.1457029894938668    257561.707542638993    87857.447819815992   -28495.678712052384        34.612        5 
    144.219098634   1.3244212099833046    0.3698532011412927    0.1265651419183670    260069.246339602163    91090.749311536856   -29330.855786120210        34.962        5 
    144.219446030   1.3145666288892524    0.3835615981018881    0.1081700576989089    262477.541185288923    94455.777387490481   -30193.253651997875        35.309        5 
    144.219793438   1.3048166947054838    0.3975341443619292    0.0904606531891510    264745.924662425066    98007.313081855566   -31144.778938668176        35.652        5 
    144.220140833   1.2951751778204281    0.4117698697660013    0.0733849701437076    266884.485705485567   101710.817500962396   -32111.165095838704        35.991        5 
