Decimal day (2016)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    240.498162917   1.9880217998046070    0.0092804946692421    2.2979599227007554    103616.204187212206   -10561.860957006793   -14704.750882204793        17.769        5 
    240.498510324   1.9760377623754821    0.0034683559471945    2.8033173398079900    105324.027542709504   -17001.159367699660    -7621.325379607578        17.946        5 
    240.498857546   1.9640648557645324    0.0047464234126509    4.6274769760847274    107051.602294962999    -2834.473458094458    18983.960367239819        18.126        5 
    240.499204942   1.9520911795701335    0.0109898210538338    4.9363500365293991    108800.338316866735     3555.920112577507    19459.749936042557        18.308        5 
    240.499552350   1.9401235757359980    0.0176081346385615    5.0154993582853624    110602.253745784852     5632.248949741631    19583.215971202357        18.496        5 
    240.499899572   1.9281689212988204    0.0243627360171198    5.0487277051200268    112415.022673677275     6890.004423889049    19853.886405686779        18.686        5 
    240.500246968   1.9162154127326012    0.0312259492867425    5.0654427369890254    114268.417321990448     7819.209812881866    20186.758454931893        18.880        5 
    240.500594375   1.9042699201859565    0.0381851292851016    5.0743739025632051    116157.871190909573     8654.328421038930    20585.270875948074        19.078        5 
    240.500941597   1.8923393970411704    0.0452338817589955    5.0790277028666084    118054.579292330949     9419.912311840240    21002.395992521542        19.278        5 
    240.501288993   1.8804121168912471    0.0523791123652179    5.0810852866600396    120002.146883641704    10156.921294579097    21479.714938895395        19.483        5 
    240.501636400   1.8684950486235248    0.0596177335989406    5.0814452535043442    121978.899185607355    10896.504711683116    21963.251428802712        19.692        5 
    240.501983623   1.8565951509396146    0.0669469380238639    5.0806365806640104    123975.761238496794    11637.631812372936    22490.715083424646        19.904        5 
    240.502331030   1.8447008281373261    0.0743756731419850    5.0789881530414061    126026.923773450631    12373.246089792956    23022.542559821348        20.121        5 
    240.502678426   1.8328191327759773    0.0819016387882382    5.0767165312292821    128099.691967734499    13134.483757885766    23560.254482602053        20.341        5 
    240.503025648   1.8209570689005887    0.0895224346970300    5.0739711601712063    130198.301378944205    13886.660276862176    24144.678026203452        20.564        5 
    240.503373056   1.8091031718789132    0.0972477124759146    5.0708538470421676    132344.933609962725    14682.250586031223    24728.088931869468        20.793        5 
    240.503720278   1.7972707027936383    0.1050711769651867    5.0674437787586406    134498.512988145754    15503.517511494989    25357.431806365224        21.024        5 
    240.504067674   1.7854482869684389    0.1130028151374246    5.0637938022071962    136704.259220988024    16311.595892239899    25993.102206663814        21.261        5 
    240.504415081   1.7736430676206749    0.1210404579442999    5.0599486932846442    138947.773865576746    17167.223692661701    26662.900237040303        21.502        5 
    240.504762303   1.7618621976427891    0.1291817760574371    5.0559438036879039    141224.898468169500    18052.246545590562    27344.819860727286        21.748        5 
    240.505109699   1.7500944296232515    0.1374372144961574    5.0518010211770195    143507.886141227529    18959.015127554059    28046.662537310069        21.995        5 
    240.505457106   1.7383470192060972    0.1458045935074062    5.0475431605146239    145852.884840195999    19887.789151224984    28779.015166164820        22.249        5 
    240.505804329   1.7266271616663389    0.1542815420786463    5.0431892738306248    148223.227183818264    20827.003212664178    29537.108037294103        22.507        5 
    240.506151725   1.7149238128224800    0.1628789854557094    5.0387484223207606    150615.909399738390    21806.244174780917    30307.798021455310        22.767        5 
    240.506498947   1.7032503733640512    0.1715901407219261    5.0342365387514985    153044.064166874334    22827.232259937646    31101.574686324326        23.033        5 
    240.506846354   1.6915959023188081    0.1804262680627748    5.0296581781029657    155523.865218050079    23823.887020502712    31920.409198552035        23.304        5 
    240.507193762   1.6799677695648330    0.1893851071853837    5.0250235542786443    158022.567033354135    24845.400019334324    32842.287336226480        23.580        5 
    240.507541157   1.6683673108510884    0.1984689365701910    5.0203392175036790    160600.295475525898    25906.251377185581    33631.791721443427        23.862        5 
    240.507888380   1.6568019041117383    0.2076752335643488    5.0156132567540013    163189.093620258180    26972.207166428027    34493.498274354570        24.146        5 
    240.508235602   1.6452669200451155    0.2170110651712930    5.0108480561755382    165775.942840976000    28035.897156788174    35573.831605411178        24.435        5 
    240.508583009   1.6337578211644208    0.2264837911722159    5.0060452273090466    168445.016173128708    29165.810271573609    36521.136175995147        24.731        5 
    240.508930405   1.6222821660896316    0.2360910277938680    5.0012108068813248    171097.972740746598    30288.499762319138    37703.727474378902        25.030        5 
    240.509277813   1.6108415026885694    0.2458352377030469    4.9963478670745172    173837.996786674223    31441.472132344607    38811.344311679495        25.337        5 
    240.509625208   1.5994374237273035    0.2557189561031045    4.9914591738888880    176627.607905701676    32597.069419066611    39892.167233639433        25.649        5 
    240.509972431   1.5880775321321150    0.2657394676515979    4.9865496243137466    179436.883806532482    33811.800471422684    41040.938669522046        25.965        5 
    240.510319653   1.5767575966265679    0.2759044774697588    4.9816188260022356    182333.426032882213    34870.173923380906    42217.395766398753        26.288        5 
    240.510667060   1.5654735211552111    0.2862220185552736    4.9766659959208308    185182.229382275807    36408.699163121099    43502.757882358899        26.618        5 
    240.511014468   1.5542330570480587    0.2966894930352579    4.9716953428810804    188170.075223751221    37619.123803138056    44709.959036996224        26.953        5 
    240.511361863   1.5430380847654614    0.3073095903742223    4.9667083591455432    191190.588471237686    38920.803761362411    46025.059416804143        27.297        5 
    240.511709086   1.5318963668974170    0.3180794003334697    4.9617089788119024    194299.256930063741    40241.406233765054    47346.713815448456        27.649        5 
    240.512056308   1.5208040767455140    0.3290071326461911    4.9566957288462756    197450.533943636459    41614.364424150874    48694.180765342273        28.008        5 
    240.512403715   1.5097575599982016    0.3401014067745292    4.9516671088733588    200684.383357839019    43007.450207352260    50055.425790546607        28.376        5 
    240.512751111   1.4987647606615051    0.3513593726475026    4.9466266313678569    203996.504370232637    44429.604635056130    51439.737854467705        28.752        5 
    240.513098519   1.4878278891036547    0.3627838481109581    4.9415751733433471    207410.102812198165    45855.674608085938    52850.038974158990        29.139        5 
    240.513445914   1.4769492347918340    0.3743776987850783    4.9365135228951544    210910.994500272151    47318.527356072198    54256.327384785363        29.536        5 
    240.513793137   1.4661367659637483    0.3861375969533365    4.9314450331465070    214540.419772838621    48782.374544620747    55726.303118924290        29.946        5 
    240.514140359   1.4553872222247897    0.3980724224447108    4.9263677196805027    218255.129167982523    50285.346160220797    57230.168259589496        30.367        5 
    240.514487766   1.4446975800297592    0.4101914071266289    4.9212794992361060    222114.021992078866    51838.613188319097    58761.102169689941        30.803        5 
    240.514835174   1.4340760147925975    0.4224912657492307    4.9161835584522597    226077.777914418723    53419.480196641060    60295.509853457057        31.250        5 
    240.515182569   1.4235251834509435    0.4349748852958256    4.9110804009990865    230217.504631986434    55067.527438316523    61897.167011988946        31.717        5 
    240.515529792   1.4130532521305963    0.4476385254239552    4.9059731567126441    234488.110217522713    56770.086347678589    63493.512710671734        32.198        5 
    240.515877014   1.4026574983885531    0.4604914861372443    4.9008595686403638    238959.412609905179    58546.532845925496    65113.480428361814        32.700        5 
    240.516224421   1.3923354838483561    0.4735434686501718    4.8957373635153969    243602.894601002801    60425.335527966512    66752.197808582205        33.221        5 
    240.516571644   1.3821008910547621    0.4867837331495591    4.8906122077259448    248411.019575679442    62401.958502498004    68400.524395094515        33.761        5 
    240.516919039   1.3719461258989585    0.5002288530228078    4.8854791342529369    253448.398045470938    64508.715843770246    70057.439919292097        34.325        5 
    240.517266262   1.3618848938776769    0.5138676145855968    4.8803437456014302    258701.889564016950    66798.414345054873    71721.774750548691        34.915        5 
    240.517613484   1.3519150922754213    0.5277096879265146    4.8752036636895646    264168.565764926781    69224.070228864090    73406.478345817421        35.528        5 
    240.517960891   1.3420348777496134    0.5417651054008427    4.8700565014241581    269854.480003069621    71881.853550788146    75052.275620698842        36.167        5 
    240.518308287   1.3322528838423775    0.5560293147556168    4.8649051338363494    275772.342825670261    74763.815193985283    76695.778396319714        36.834        5 
    240.518655509   1.3225775624761262    0.5704972757263135    4.8597525054272017    281938.838038853020    77940.980282920544    78292.991537601207        37.531        5 
    240.519002917   1.3130023792373531    0.5851865148960823    4.8545934606803121    288351.894727181061    81421.436361732805    79885.249997841005        38.259        5 
    240.519350139   1.3035409458893756    0.6000840883784975    4.8494335486535496    294950.277887390112    85280.983540394736    81470.374228969595        39.016        5 
    240.519697535   1.2941871136445162    0.6152077888628406    4.8442675900858889    301781.764161607367    89541.725356552706    82980.998107499385        39.804        5 
    240.520044942   1.2849496299163821    0.6305520560489636    4.8390984641284014    308773.467587105697    94282.741667472335    84454.039707852338        40.621        5 
    240.520392350   1.2758323605410276    0.6461188955570202    4.8339262950848072    315960.284925243410    99553.366244849429    85873.797129014813        41.472        5 
    240.520739745   1.2668392693763677    0.6619102103744073    4.8287512718442862    323261.940596318105   105375.814979180519    87228.948584156475        42.351        5 
    240.521086968   1.2579789349492541    0.6779192921592218    4.8235762030499849    330660.923661102657   111847.171936890809    88553.821797949131        43.262        5 
    240.521434190   1.2492507689784593    0.6941558791547761    4.8183985618811631    338071.461981428438   118998.320028541668    89818.613525266323        44.199        5 
    240.521781597   1.2406544760432796    0.7106299549460244    4.8132157534878406    345441.143612371525   126937.345835287109    91025.058203782886        45.162        5 
    240.522128993   1.2321988764943026    0.7273342894297933    4.8080306220715885    352708.763322281768   135699.353248645144    92198.751118762142        46.150        5 
    240.522476215   1.2238925410485082    0.7442609603625898    4.8028459357315185    359736.981271013618   145307.505785022397    93338.594813781077        47.155        5 
    240.522823623   1.2157311913426778    0.7614283297410064    4.7976564513567661    366474.596314129245   155880.915192849759    94481.842140804016        48.180        5 
    240.523170845   1.2077277171313556    0.7788189899926848    4.7924676423932864    372809.156957734260   167522.209635466570    95583.735812497558        67.967        6 
    240.523518241   1.1998782442864648    0.7964512487709587    4.7872742119530090    378466.361734668200   180023.572732195782    96710.522491146417        69.004        6 
    240.523865648   1.1921914802709075    0.8143160630072848    4.7820789590264337    383614.834893412073   193613.255374138884    97991.329552829528        70.066        6 
    240.524212870   1.1846758112698528    0.8324035535794776    4.7768846731624865    387716.709876225970   208208.320176605252    99268.395345175784        71.106        6 
