Decimal day (2017)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    192.042594433   1.9879503479564447    0.1233041505790161    2.5126942526726701    107292.923773499919    -7051.840424217669   -13308.333284142191        18.084        5 
    192.042941840   1.9758921067342667    0.1172142760635221    2.4898050701128445    108988.800896226152    -7292.858257762302   -13809.506220233334        18.260        5 
    192.043289063   1.9638440984131857    0.1110935845973800    2.4647625141725973    110716.518967341777    -7481.322166167028   -14365.012881677692        18.439        5 
    192.043636470   1.9517943551771795    0.1049431632490569    2.4371313779435524    112458.664794913231    -7651.070034774422   -14958.992338249824        18.621        5 
    192.043983692   1.9397560311485416    0.0987792205029482    2.4064277843910369    114223.225709313017    -7763.119235510442   -15579.852806329100        18.804        5 
    192.044331088   1.9277171730619251    0.0926084071358010    2.3719704385751355    115993.928560746615    -7812.142593945802   -16285.775622154782        18.989        5 
    192.044678495   1.9156847131226546    0.0864513803641870    2.3329444578056577    117828.135379146304    -7769.235952672069   -17043.809786396869        19.181        5 
    192.045025718   1.9036655654105368    0.0803348863247423    2.2883055955742146    119675.676350392605    -7591.557040360020   -17870.131263313095        19.374        5 
    192.045373113   1.8916479006815707    0.0742846830102223    2.2366210490926157    121550.362143430044    -7264.085265370764   -18767.191293079279        19.570        5 
    192.045720336   1.8796449295643225    0.0683513558844440    2.1761432092736541    123441.381983444706    -6703.683413723618   -19762.270088561731        19.769        5 
    192.046067558   1.8676511351764893    0.0625933935381471    2.1045155806294793    125382.921809502630    -5848.028089569272   -20818.306894614620        19.973        5 
    192.046414965   1.8556610357897612    0.0570945198385341    2.0187257354181529    127319.315455998061    -4592.864071651594   -21916.657978995892        20.177        5 
    192.046762187   1.8436879053786488    0.0519817807621835    1.9152621195662367    129309.455969361632    -2808.567365647085   -23056.960520566234        20.388        5 
    192.047109410   1.8317263133305124    0.0474198639700145    1.7901473430554504    131320.181358585862     -325.241169618783   -24055.673671768283        20.601        5 
    192.047456632   1.8197771024699170    0.0436310653922118    1.6400799602570642    133360.929573872592     2945.444665024996   -24767.072786536024        20.817        5 
    192.047804028   1.8078349224970542    0.0408843989897210    1.4643428918779255    135406.916957371781     7061.238750237389   -24860.289208087735        21.035        5 
    192.048151435   1.7959069127376601    0.0394596371840123    1.2678521923913635    137500.591248504032    11798.065995576446   -24036.706257789258        21.258        5 
    192.048498657   1.7840001921266049    0.0395603460812569    1.0623138355445301    139595.963673794060    16646.071949955105   -22159.790292554600        21.482        5 
    192.048845880   1.7721095420779553    0.0412346427612371    0.8628964300709528    141731.135959984094    21128.289595587521   -19458.975194025272        21.711        5 
    192.049193102   1.7602359399830978    0.0443628313543120    0.6823510605807135    143894.161475716974    24868.347407851306   -16302.204841005601        21.943        5 
    192.049540498   1.7483742744800217    0.0487230841596769    0.5268364100785813    146054.530951779860    27858.457249535772   -13169.064759942979        22.177        5 
    192.049887905   1.7365317691606701    0.0540686427049148    0.3967337200474123    148257.165819427901    30193.194864951667   -10302.579874003171        22.415        5 
    192.050235127   1.7247157197827765    0.0601822742267752    0.2891344875769496    150486.045581106970    32124.101539588846    -7753.950638699208        22.657        5 
    192.050582350   1.7129210940383981    0.0669005010258469    0.2000480361593804    152714.029125796253    33754.176666421343    -5578.435541007733        22.900        5 
    192.050929745   1.7011429541966476    0.0741050931028963    0.1257306585224584    154981.035782046092    35215.178981579877    -3746.619036097930        23.148        5 
    192.051276968   1.6893947754580123    0.0817007928924355    0.0631582274637257    157261.234010415123    36609.821421763598    -2182.266805898826        23.398        5 
    192.051624190   1.6776717247447699    0.0896285794342414    0.0098342871106290    159546.820675630355    37955.529080963664     -854.632021673720        23.650        5 
    192.051971597   1.6659689991878766    0.0978479522999653    6.2470213418357536    161864.455931426084    39249.530682609911      215.622791451866        23.906        5 
    192.052318993   1.6542940884901940    0.1063225180666932    6.2069151255316024    164170.666729162098    40623.490653051165     1266.825784411568        24.163        5 
    192.052666400   1.6426483943075931    0.1150288229682778    6.1715735368212803    166497.486500902043    42015.599866962970     2344.953374675922        24.423        5 
    192.053013623   1.6310394346690116    0.1239450957485108    6.1401382558169617    168821.264630321413    43508.715682486167     3400.851106423377        24.687        5 
    192.053361030   1.6194565915329753    0.1330681775705815    6.1118941921042582    171157.494281917170    44959.016360607711     4017.586415871915        24.951        5 
    192.053708252   1.6079134986558636    0.1423795130071018    6.0863332124685545    173498.752957670396    46453.443684287515     4588.137688146433        25.217        5 
    192.054055475   1.5964057330273176    0.1518772510566155    6.0630119003277212    175864.278455566004    47928.392368239285     5188.787095520227        25.485        5 
    192.054402870   1.5849289743995327    0.1615618824327729    6.0415758293427171    178187.616898184555    49622.190806643091     5906.592427001809        25.756        5 
    192.054750093   1.5734969008203334    0.1714201484509944    6.0217685439214126    180523.427310786035    51362.188268902668     6375.207246023154        26.030        5 
    192.055097315   1.5621053121443904    0.1814550140467353    6.0033504834732030    182848.701625315676    53090.900048696480     6883.499166682035        26.302        5 
    192.055444722   1.5507501234123662    0.1916707041825201    5.9861249330292212    185235.260757104988    54653.857567632265     7325.126784676246        26.577        5 
    192.055792118   1.5394391977089363    0.2020616255909659    5.9699455067300349    187501.800677541003    56639.106063857362     7775.308578410230        26.852        5 
    192.056139525   1.5281744906029466    0.2126279051135144    5.9546812424217173    189807.133546781086    58517.475471731581     8298.808409723832        27.130        5 
    192.056486748   1.5169638682027320    0.2233645142617894    5.9402291404990200    192105.471140439360    60432.525082356573     8806.221306210387        27.408        5 
    192.056833970   1.5058035128566913    0.2342778908071336    5.9264877002148699    194392.497809937078    62354.639838372241     9218.681495598252        27.686        5 
    192.057181366   1.4946898499278853    0.2453751576450026    5.9133704538136254    196650.947297525679    64378.598075141686     9643.802012989319        27.965        5 
    192.057528773   1.4836309038566116    0.2566522211266721    5.9008163094573884    198872.224317679997    66470.374860779091    10048.556435388036        28.243        5 
    192.057876181   1.4726289902147571    0.2681108574115517    5.8887662057775705    201070.384633278532    68614.696150361706    10490.817140350067        28.521        5 
    192.058223576   1.4616864814700203    0.2797530167126326    5.8771688763561336    203222.532315292454    70820.103725233144    10956.122327554622        28.799        5 
    192.058570799   1.4508114806782313    0.2915746083817474    5.8659855105573655    205368.870406638423    73072.723678167386    11427.400789368337        29.078        5 
    192.058918021   1.4400007929106198    0.3035838637239294    5.8551710524840974    207451.699665257183    75378.052749855240    11948.038403092534        29.354        5 
    192.059265428   1.4292514425537006    0.3157895136197150    5.8446858729799329    209503.766819953686    77732.798552630877    12515.043719231820        29.631        5 
    192.059612824   1.4185717577619135    0.3281878011747767    5.8345055098863616    211524.335928473593    80158.679641463808    13098.916396360080        29.908        5 
    192.059960231   1.4079644893288112    0.3407811899575687    5.8246032459760331    213493.035573468747    82622.133575324915    13734.444063757212        30.183        5 
    192.060307454   1.3974379677549633    0.3535655415042055    5.8149603132128940    215454.433268611872    85124.469641340518    14423.100761163645        30.461        5 
    192.060654676   1.3869895629502622    0.3665499300110789    5.8055503370022112    217343.030287806876    87686.833008126443    15185.760006674049        30.736        5 
    192.061002072   1.3766169012093921    0.3797439010869708    5.7963497303784992    219206.607162448636    90297.839084543317    15998.966315766651        31.012        5 
    192.061349479   1.3663285524751438    0.3931433672308230    5.7873464894936237    221048.015060860489    92941.489165746083    16938.768900602015        31.289        5 
    192.061696875   1.3561276974222234    0.4067509645960560    5.7785253851564926    222820.133071265940    95659.505077858616    17969.358022464148        31.565        5 
    192.062044097   1.3460228596479957    0.4205620658333434    5.7698771226014038    224608.686329321674    98404.934493643057    19061.864493587709        31.846        5 
    192.062391505   1.3360068513807126    0.4345936534451849    5.7613802651534449    226342.379694402392   101207.881697556310    20276.607303693803        32.127        5 
    192.062738727   1.3260935493323933    0.4488337042476894    5.7530324435439679    228057.143537665659   104056.075772484270    21637.830821045063        32.411        5 
    192.063086134   1.3162761650911852    0.4632995378123643    5.7448147290701277    229738.266706786409   106978.432749759639    23132.970143937884        32.698        5 
    192.063433530   1.3065635276461462    0.4779862763394902    5.7367221902231700    231427.854518783512   109944.174679512929    24758.441602001520        32.991        5 
    192.063780752   1.2969642962847610    0.4928884792734338    5.7287504708959069    233085.165394122829   112992.695018633211    26514.443348184010        33.288        5 
    192.064127975   1.2874771826782234    0.5080160318158963    5.7208875740558742    234737.225222103123   116097.841913450422    28492.144157244547        33.592        5 
    192.064475197   1.2781060784315115    0.5233711352751836    5.7131263718374674    236400.696007976716   119268.609018042989    30595.989163741120        33.905        5 
    192.064822604   1.2688501608247049    0.5389640430940172    5.7054563999800081    238080.258443065424   122562.862434844574    32878.302524039056        34.229        5 
    192.065170000   1.2597183923669135    0.5547887782409761    5.6978756906086634    239730.531420431536   125904.885206199950    35383.954542375621        34.558        5 
    192.065517222   1.2507195520022043    0.5708387307961318    5.6903826297751126    241453.862600529770   129372.335625814914    38010.631491582782        34.905        5 
    192.065864630   1.2418484869967212    0.5871322716507454    5.6829642786365451    243178.835780118301   132927.290296869760    40886.605092334023        35.264        5 
    192.066211852   1.2331187249670055    0.6036538980367959    5.6756236407943517    244953.313287126424   136626.479003585642    43888.669056160536        35.639        5 
    192.066559248   1.2245255313639225    0.6204221213470933    5.6683487128638275    246774.846735742845   140446.704918012896    47120.837596684782        36.033        5 
    192.066906655   1.2160779139608096    0.6374294356216833    5.6611392663298989    248678.360774615488   144437.041624703386    50509.308707057891        36.448        5 
    192.067253877   1.2077846744382048    0.6546676674101910    5.6539952587410243    250609.333217929117   148649.452693578263    54020.076328166309        36.884        5 
    192.067601100   1.1996458861927679    0.6721461767227260    5.6469093966898249    252669.818926196429   153074.696920750808    57679.826131391950        37.350        5 
    192.067948322   1.1916661882400288    0.6898653036815092    5.6398784489972709    254750.392943914514   157785.956336187897    61432.835658673983        37.839        5 
    192.068295718   1.1838461962900064    0.7078344888724118    5.6328957110820363    256878.892819784058   162853.380995434272    65244.396844743969        38.357        5 
    192.068643125   1.1761948138923319    0.7260443303320504    5.6259620358007902    259065.466142302350   168316.152229992440    69074.546056805397        38.907        5 
