Decimal day (2023)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    364.488147373   1.9877703905186170    0.8218890435955021    1.8982282278134532     66284.341854450991    39633.389934655606   -12113.165604903454        10.377        4 
    364.488494595   1.9755426714579605    0.8156410183037476    1.8914588394366503     67827.870476017953    40301.604890221104   -12341.084679975991        10.546        4 
    364.488841991   1.9633092695028940    0.8093132324584714    1.8846492783783193     69421.159602272790    40989.842841168036   -12562.786480781824        10.719        4 
    364.489189398   1.9510771078071152    0.8029075399070824    1.8778015790994471     71066.927330190025    41682.824825392381   -12798.330224620759        10.898        4 
    364.489536620   1.9388530623960414    0.7964259333778219    1.8709177731233293     72780.074917851889    42394.973191443692   -13040.480517114234        11.083        4 
    364.489883843   1.9266313578265575    0.7898636727691722    1.8639926328834220     74542.028942970894    43124.281228197498   -13282.320937378501        11.274        4 
    364.490231065   1.9144125589463141    0.7832192955619198    1.8570244354046415     76361.800667579460    43873.583091217508   -13532.397974017544        11.470        4 
    364.490578287   1.9021972743209095    0.7764913128369653    1.8500113041366761     78249.007655302688    44631.296708354035   -13790.112800722296        11.673        4 
    364.490925509   1.8899861287221598    0.7696782148888600    1.8429512787930213     80196.419161370432    45403.888848446048   -14047.885566647925        11.882        4 
    364.491272905   1.8777734258302201    0.7627748423116648    1.8358385692483212     82220.599332230020    46190.237330597316   -14317.653788958922        12.099        4 
    364.491620312   1.8655661790275584    0.7557831313772840    1.8286746305247350     84307.932004614850    46998.206814161778   -14588.763690642743        12.322        4 
    364.491967535   1.8533714661430019    0.7487051956562359    1.8214608834687818     86478.394760909519    47824.755215871119   -14867.600927950827        12.553        4 
    364.492314931   1.8411773125567552    0.7415320183945121    1.8141873234188066     88725.840210169146    48657.850470868580   -15156.146223295926        12.792        4 
    364.492662153   1.8289971396673466    0.7342694078799197    1.8068588596592652     91051.709637229709    49504.703191263921   -15450.865149960850        13.038        4 
    364.493009560   1.8168190734648806    0.7269080981093110    1.7994650441353786     93462.805245449708    50378.392009659990   -15754.060437904984        13.294        4 
    364.493356956   1.8046502430218985    0.7194501206767047    1.7920066471551619     95963.259526824608    51251.000778710390   -16051.159934133622        13.557        4 
    364.493704363   1.7924915266070687    0.7118937286653905    1.7844804638677705     98562.479592377669    52141.723752813152   -16371.103033807996        13.830        4 
    364.494051586   1.7803500995486854    0.7042411403523903    1.7768870372781227    101252.230066002827    53045.063983064072   -16686.815949142860        14.112        4 
    364.494398808   1.7682205289351169    0.6964866461903968    1.7692187713823770    104044.110187486789    53960.685884606501   -17021.101737664794        14.403        4 
    364.494746204   1.7560974563100735    0.6886242753679804    1.7614676964087352    106916.666790216317    54885.448234825511   -17350.827283633440        19.392        5 
    364.495093611   1.7439881803620489    0.6806561861007974    1.7536335724873908    109934.393471069779    55830.863901221906   -17707.083940726359        19.705        5 
    364.495441019   1.7318937095742661    0.6725804788060250    1.7457118509715799    113069.386086372819    56755.056240135898   -18055.238365721838        20.028        5 
    364.495788241   1.7198213694160174    0.6643995268979745    1.7377018764634478    116303.046649798664    57705.487336239588   -18418.937461817241        20.362        5 
    364.496135637   1.7077596846803842    0.6561028598169253    1.7295900624550355    119677.898509332677    58651.345814999433   -18813.696112624340        20.709        5 
    364.496482859   1.6957223329566478    0.6476971748792943    1.7213792151567728    123161.538355318698    59600.690205192288   -19226.404234033289        21.066        5 
    364.496830266   1.6836979541147741    0.6391717116835859    1.7130546938304172    126758.456800749438    60552.580365703332   -19616.881068890187        21.433        5 
    364.497177662   1.6716940389965640    0.6305288328190499    1.7046141765234621    130534.591825987067    61479.969485427879   -20017.746713957313        21.816        5 
    364.497525069   1.6597118290676114    0.6217665314134913    1.6960505095298910    134451.027814256697    62413.275589229212   -20468.889790769295        22.213        5 
    364.497872292   1.6477588748764127    0.6128874289489932    1.6873605696439400    138486.022522286541    63331.978851538879   -20931.432891367720        22.620        5 
    364.498219514   1.6358302596354730    0.6038849683423352    1.6785315307123743    142674.778680466203    64238.437464133305   -21388.333526299524        23.041        5 
    364.498566910   1.6239212209409835    0.5947523364877061    1.6695495877616608    147027.899515544792    65124.235439638840   -21871.385795354436        23.477        5 
    364.498914317   1.6120393990306392    0.5854921719228000    1.6604093789433765    151541.352519767999    65961.497633025283   -22396.362360272575        23.927        5 
    364.499261725   1.6001863318268978    0.5761024432149937    1.6511000510185483    156212.653756748361    66795.737279790832   -22933.756847132234        24.392        5 
    364.499608947   1.5883697189348596    0.5665861426448405    1.6416147397037346    161053.091071456205    67573.196971939688   -23492.021557618318        24.872        5 
    364.499956343   1.5765788676525774    0.5569313762173973    1.6319305937720532    166068.728694057005    68304.536791976789   -24071.057096352946        25.366        5 
    364.500303565   1.5648277369667629    0.5471462614544479    1.6220434534529786    171239.997526776249    68969.529139423670   -24677.852522610403        25.874        5 
    364.500650972   1.5531058333224319    0.5372187146411812    1.6119273463565891    176579.859110972960    69618.675917929897   -25331.728540673328        26.398        5 
    364.500998368   1.5414210814432545    0.5271519465109316    1.6015700620608688    182092.278381719196    70184.469868716362   -26018.271726813960        26.937        5 
    364.501345590   1.5297813912437876    0.5169495481071871    1.5909580988443039    187807.972869891906    70641.222812533728   -26706.943607894693        27.491        5 
    364.501692998   1.5181765997109955    0.5065992169460503    1.5800592289042728    193654.728493601287    71066.626840484343   -27469.018290577958        28.059        5 
    364.502040220   1.5066207598771728    0.4961101820367569    1.5688613124296655    199687.231091347756    71386.285836674564   -28266.616843659915        28.643        5 
    364.502387616   1.4951039393103502    0.4854700729683379    1.5573264928612529    205890.374649916543    71588.165340426858   -29137.627486134581        29.241        5 
    364.502735023   1.4836343003238006    0.4746830667637276    1.5454313008766030    212235.982683824404    71704.616701103630   -30017.601208020747        29.851        5 
    364.503082431   1.4722140778091954    0.4637480940595994    1.5331429618781920    218717.146037246159    71700.710411754029   -30997.947933281768        30.474        5 
    364.503429826   1.4608455690641586    0.4526643351012782    1.5204246848827470    225360.669809369138    71596.122767972163   -32038.399824708253        31.111        5 
    364.503777049   1.4495370376435959    0.4414371286936494    1.5072420173248093    232136.141475266952    71365.669839794689   -33097.415414375631        31.759        5 
    364.504124271   1.4382850084583725    0.4300605503674844    1.4935416139659705    239034.704368839361    70987.128781464111   -34256.013828535266        32.418        5 
    364.504471678   1.4270862148912489    0.4185287542680659    1.4792627715255309    246015.231899563049    70478.677939543632   -35478.032466762059        33.085        5 
    364.504819074   1.4159491815325187    0.4068483217120389    1.4643519396077493    253099.403441812377    69869.221496099999   -36776.882655782480        33.762        5 
    364.505166296   1.4048823626994267    0.3950267361245035    1.4487481550430690    260254.431723594869    69193.397774970086   -38218.647526523520        34.448        5 
    364.505513519   1.3938827666300255    0.3830599165872607    1.4323645225654738    267471.535333709209    68369.960360751982   -39739.862127724009        35.141        5 
    364.505860741   1.3829533098134901    0.3709507018669234    1.4151095260069473    274741.330364809139    67431.998329885653   -41316.816299108759        35.839        5 
    364.506207963   1.3720969689632863    0.3587029471988272    1.3968773754854327    281988.777593484323    66409.059221192889   -43080.520805946013        36.538        5 
    364.506555185   1.3613168626680536    0.3463217557713748    1.3775449518915355    289296.119909606641    65307.926653442017   -44796.959989431067        37.243        5 
    364.506902593   1.3506106095695005    0.3338072113148159    1.3569574207480457    296526.700645242236    64188.734188409988   -46851.356861280394        37.948        5 
    364.507249815   1.3399926902657859    0.3211808544982566    1.3349673251972052    303719.203225252102    63088.229694278809   -48909.698069795639        38.652        5 
    364.507597211   1.3294554318946221    0.3084403691020850    1.3113524795220983    310921.624130745942    61787.193659005730   -51025.905764415213        39.357        5 
    364.507944618   1.3190078861987615    0.2956060088455555    1.2858874537194085    317935.969520870771    60857.120974626800   -53480.200190905889        40.059        5 
