Decimal day (2022)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    143.057325359   1.9878270934695113    0.5919156967296636    2.2575591967915707     94108.261038949713    27998.701065928391   -16846.979226623389        12.522        4 
    143.057672766   1.9756531875354137    0.5856995734025107    2.2496547661531179     96068.689219047519    28306.232248620916   -17218.966077763187        17.409        5 
    143.058019988   1.9634876315486469    0.5794131733181526    2.2416713418633876     98084.835812902485    28617.297080378965   -17641.500785685646        17.616        5 
    143.058367211   1.9513246337395136    0.5730520995760567    2.2336006405748439    100144.163839593515    28929.226051855403   -18078.094032681354        17.826        5 
    143.058714433   1.9391647449550817    0.5666151517445787    2.2254381900069138    102275.121459650196    29258.330140706814   -18488.903585868833        18.044        5 
    143.059061829   1.9270022252948951    0.5600977161733002    2.2171748524045869    104448.432171565306    29554.060259204256   -18932.257222198314        18.266        5 
    143.059409236   1.9148440092628778    0.5535019055505761    2.2088097249454379    106704.055161829470    29894.855241222780   -19359.037349882503        18.496        5 
    143.059756458   1.9026970629722355    0.5468299719838042    2.2003417083099674    109003.636854610493    30182.913691889255   -19841.517702891426        18.730        5 
    143.060103681   1.8905557059954743    0.5400772950035893    2.1917605699147025    111359.461377006926    30498.941852246135   -20356.376369162630        18.971        5 
    143.060450903   1.8784206072048251    0.5332426127414956    2.1830599625015332    113807.916476281549    30828.695645832100   -20765.992613995779        19.219        5 
    143.060798310   1.8662861606869436    0.5263210592494952    2.1742283822121840    116300.572964511681    31060.196143797213   -21308.755800979274        19.472        5 
    143.061145706   1.8541594216150685    0.5193149289179433    2.1652629692860632    118881.080867714278    31375.495685638532   -21803.389698402261        19.734        5 
    143.061492928   1.8420474335264971    0.5122266824729464    2.1561605175517569    121523.800570967403    31599.211727199581   -22339.150612368223        20.001        5 
    143.061840336   1.8299383710786095    0.5050476885312574    2.1469029256727814    124255.816326536617    31852.564227778203   -22897.931797766418        20.277        5 
    143.062187558   1.8178456530770781    0.4977842085383611    2.1374905232590313    127024.497121930079    32105.193854522659   -23442.484550431076        20.557        5 
