Decimal day (2018)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    302.842127731   1.9879082780396506    0.3049002550597526    5.0835774867944918     94195.588203986714    21408.487163808102    17499.458229197407        12.377        4 
    302.842474954   1.9758250388942200    0.2994497037292403    5.0668390936800307     96294.877153250549    21254.649382607637    18086.791189635122        17.273        5 
    302.842822176   1.9637453300738426    0.2939712988377549    5.0495414057994470     98439.063843268508    21070.846971359046    18689.330276304856        17.486        5 
    302.843169572   1.9516634423233519    0.2884646815071999    5.0316357527359399    100665.638590640476    20849.508360349952    19349.086898669182        17.708        5 
    302.843516979   1.9395862596390407    0.2829355846255385    5.0130883097933943    102924.736295608920    20604.792513609817    19996.436760790937        17.933        5 
    302.843864375   1.9275144076557891    0.2773873145551828    4.9938526799772518    105260.522228126472    20317.625280153963    20651.985569137316        18.165        5 
    302.844211597   1.9154547687282022    0.2718265258798894    4.9738891939994998    107638.050573101413    20003.310968499987    21370.528017281405        18.402        5 
    302.844559005   1.9033954493331613    0.2662517049403217    4.9531223137583957    110107.521954597018    19645.701970877319    22012.321720248576        18.647        5 
    302.844906227   1.8913496941492887    0.2606735171788419    4.9315143831218506    112658.668714711923    19280.194184830467    22666.225260700317        18.900        5 
    302.845253634   1.8793056461019302    0.2550916915410937    4.9089783813540278    115244.491416626028    18814.976353211292    23430.846490809221        19.157        5 
    302.845601030   1.8672703259734627    0.2495154021730409    4.8854554731993467    117886.446843114376    18285.198131462806    24203.733791690549        19.420        5 
    302.845948252   1.8552507257782200    0.2439546746479181    4.8608829407370031    120629.008993245239    17684.650408501078    24977.754153254729        19.692        5 
    302.846295475   1.8432413771098630    0.2384146726651825    4.8351670229944155    123435.564788273768    17015.824317982297    25801.418748497585        19.972        5 
    302.846642697   1.8312430609765109    0.2329045173261311    4.8082196115139570    126316.500439410564    16272.534203550302    26623.630891696826        20.259        5 
    302.846989919   1.8192566478273906    0.2274345565371625    4.7799458666631143    129264.232505643813    15454.508338894757    27450.223012266728        20.552        5 
    302.847337141   1.8072829794718708    0.2220164698593920    4.7502443552715699    132317.281767617416    14545.254289405086    28273.765906195098        20.856        5 
    302.847684549   1.7953167446144793    0.2166606810828051    4.7189905507630847    135422.571045227378    13522.249158139293    29113.824590968998        21.165        5 
    302.848031944   1.7833651035202627    0.2113849296852525    4.6860852845354000    138647.923651224497    12399.665660089631    29942.775970832467        21.486        5 
    302.848379167   1.7714352224260161    0.2062086396252160    4.6514276895817934    141943.511371793516    11165.342651267314    30760.320802931121        21.814        5 
    302.848726574   1.7595156816568500    0.2011452294628169    4.6148582699779883    145360.813492078771     9801.716353678294    31547.473175421925        22.154        5 
    302.849073796   1.7476199064451863    0.1962210097792103    4.5762897813205416    148837.055703938444     8303.530096502076    32321.846192092216        22.501        5 
    302.849421019   1.7357427792954350    0.1914567450949045    4.5355792089066185    152426.554925453325     6688.785965883366    33014.725309882240        22.858        5 
    302.849768241   1.7238853926994002    0.1868784401901225    4.4926063647991175    156120.705944714922     4924.648613407397    33649.286411011417        23.226        5 
    302.850115463   1.7120488840762222    0.1825147677064390    4.4472605113043082    159925.586855969217     2977.490452066148    34205.002572320103        23.604        5 
    302.850462859   1.7002282870635161    0.1783950376549055    4.3994208303830851    163833.307280202949      903.777657799670    34676.492459769899        23.994        5 
    302.850810081   1.6884371418066801    0.1745576280989896    4.3490646635756969    167848.927990589698    -1327.029634245744    35021.254632392214        24.394        5 
    302.851157488   1.6766644413718215    0.1710351029211163    4.2960987566019737    171986.147482187516    -3731.835652323560    35193.746694601432        24.807        5 
    302.851504711   1.6649237355471638    0.1678698340155373    4.2405788238594164    176260.140176445944    -6268.247280886782    35219.305276165585        25.233        5 
    302.851852106   1.6532041695824111    0.1650988759035128    4.1824987100916822    180638.796785352053    -8969.955105248486    34998.323695822226        25.669        5 
    302.852199329   1.6415193388066911    0.1627662813979730    4.1220312460793078    185156.980200382066   -11759.523210951353    34560.322002332709        26.120        5 
    302.852546551   1.6298645804179113    0.1609115834567909    4.0593273835942352    189799.700686200638   -14649.726925350107    33891.356706211438        26.583        5 
