Decimal day (2017)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
     33.502627106   1.9880316444645778    0.0565890208368479    5.0127768536052901    102392.694740494728     7574.265447609364    18112.031351052599        17.676        5 
     33.502974329   1.9760619329336111    0.0502229548231899    4.9848053288344314    104378.967429275232     6849.652819677727    18658.876649012960        17.875        5 
     33.503321551   1.9640971623923693    0.0438133099188713    4.9498629465105068    106408.137702053224     5962.040913354083    19230.495811834146        18.080        5 
     33.503668773   1.9521379471500862    0.0373778508500263    4.9042395625988169    108493.155563297958     4811.088819709834    19795.187020189813        18.289        5 
     33.504015995   1.9401848823358863    0.0309508586755980    4.8411374115830377    110598.580547254198     3236.630773843279    20383.833043452229        18.501        5 
     33.504363218   1.9282386100558007    0.0246047360453558    4.7468710167658488    112773.741318532804      935.557460626698    20897.257485945636        18.720        5 
     33.504710613   1.9162935605497760    0.0185109789609223    4.5905038704756116    114983.824125133964    -2758.805850546105    21040.246741584437        18.943        5 
     33.505057836   1.9043628448505807    0.0131719107954003    4.2967298846494302    117236.962979254662    -9206.002350746265    19423.817023806794        19.169        5 
     33.505405058   1.8924409347496662    0.0100682442450383    3.7332507011497795    119572.036053371121   -18701.131320880293    11327.169927572639        19.405        5 
     33.505752280   1.8805285824274065    0.0114022310377531    3.0597177605285779    121920.846443785180   -21921.534780044291    -3280.280310348829        19.642        5 
     33.506099687   1.8686203060505653    0.0162297495293009    2.6543523709614578    124372.728226713545   -18906.334239606433   -12233.897448010317        19.889        5 
     33.506446910   1.8567292874388077    0.0224820771298612    2.4477371053529979    126835.025795623427   -15919.213741578164   -16439.193171636696        20.138        5 
     33.506794132   1.8448501456360327    0.0293317304024058    2.3301348855772304    129363.786284417118   -13714.380050520438   -18801.351461842947        20.394        5 
     33.507141528   1.8329775021305112    0.0365067126709690    2.2548297661895611    131956.900155884767   -12024.355786728258   -20400.162125476680        20.656        5 
     33.507488750   1.8211245886708227    0.0438933277042083    2.2021861844277946    134596.533381927002   -10633.600965033678   -21619.081360778095        20.924        5 
     33.507835972   1.8092861021628770    0.0514479117980869    2.1628576489294855    137313.679982797243    -9441.999266564209   -22654.141281073556        21.199        5 
     33.508183380   1.7974568130960176    0.0591511161864020    2.1319594111083378    140073.902394608129    -8357.297776574158   -23613.992843980574        21.480        5 
     33.508530602   1.7856499927786451    0.0669825973163032    2.1067505307302579    142908.748109533743    -7344.174661182822   -24462.353007457841        21.767        5 
     33.508877824   1.7738604356696148    0.0749396844387403    2.0855266339929193    145793.846897283336    -6375.855247353509   -25289.639618470399        22.061        5 
     33.509225220   1.7620830372402350    0.0830230925035976    2.0671973647353243    148753.105803225742    -5398.374167865717   -26103.335707756771        22.362        5 
     33.509572442   1.7503311252143783    0.0912227530827564    2.0510572279564285    151775.381593613565    -4417.818969235639   -26893.994905648622        22.670        5 
     33.509919664   1.7385996233591359    0.0995423626520262    2.0365929885199043    154841.425096400344    -3426.499814379022   -27671.758788246574        22.983        5 
     33.510266887   1.7268896674285645    0.1079821880411529    2.0234452603287276    158001.340753823693    -2406.778272073987   -28479.084234710906        23.307        5 
     33.510614109   1.7152024182034142    0.1165430213326949    2.0113498999982942    161219.325663438911    -1342.098177489028   -29246.547704139535        23.636        5 
     33.510961516   1.7035330043821200    0.1252305830498503    2.0001034346804238    164519.347102237749     -251.806470481995   -30048.380141156209        23.974        5 
     33.511308912   1.6918887518616443    0.1340418916893699    1.9895607177118642    167853.656004076300      893.139412446144   -30826.648577386033        24.316        5 
     33.511656134   1.6802769798709687    0.1429739129936660    1.9796089933906358    171278.142914062773     2117.511147204339   -31636.153895477917        24.669        5 
     33.512003356   1.6686929691500787    0.1520330071980588    1.9701497323028248    174775.523548016208     3376.719260956856   -32443.207553318742        25.029        5 
     33.512350579   1.6571380752402038    0.1612211184670689    1.9611086707180563    178341.356972561509     4697.729102791996   -33280.436370424337        25.398        5 
     33.512697801   1.6456137009436971    0.1705403107254829    1.9524257961402878    181977.107108289900     6093.007294552252   -34109.271935078301        25.775        5 
     33.513045208   1.6341153410149136    0.1799976764730879    1.9440476557170114    185680.827296856965     7575.649869497691   -34929.621459203452        26.159        5 
     33.513392431   1.6226564920272062    0.1895856125222463    1.9359424170092669    189475.051247253228     9108.026069290281   -35781.670968406361        26.554        5 
     33.513739653   1.6112327066771319    0.1993112902158021    1.9280719784940312    193303.629241221963    10764.654870606071   -36624.349823040218        26.954        5 
     33.514087049   1.5998396707762876    0.2091822674949392    1.9204038906467387    197185.967875690170    12488.493029500365   -37464.946650824320        27.360        5 
     33.514434271   1.5884909260205975    0.2191906764407483    1.9129223144143928    201175.443356231088    14331.552691624689   -38344.456158206769        27.780        5 
     33.514781493   1.5771822344277211    0.2293441185258114    1.9056027465221537    205190.753567140928    16283.136381745389   -39214.952323761936        28.204        5 
     33.515128715   1.5659153939397428    0.2396450946468637    1.8984276797816955    209282.747071664315    18354.024882324535   -40076.656276079113        28.637        5 
     33.515476123   1.5546864007740799    0.2501016657604778    1.8913784528722144    213446.308235826698    20527.471011273621   -40951.623998052688        29.081        5 
     33.515823345   1.5435088396368850    0.2607055645764970    1.8844493231455477    217641.772587237472    22841.227179541107   -41840.111966131328        29.530        5 
     33.516170567   1.5323787899805945    0.2714648469069780    1.8776252692132769    221904.645055974572    25309.325099495734   -42691.163286610870        29.989        5 
     33.516517963   1.5212925311427441    0.2823879221118880    1.8708928663835673    226189.145447534043    27914.871481303213   -43574.968782327560        30.453        5 
     33.516865185   1.5102636904417845    0.2934661543810362    1.8642503950757392    230555.795716242428    30645.442661440284   -44455.459839237526        30.929        5 
     33.517212407   1.4992886232198810    0.3047079191981621    1.8576866135323309    234911.970672661730    33549.711122641769   -45328.294880217021        31.409        5 
     33.517559630   1.4883695451278642    0.3161160015444713    1.8511947368000299    239316.213797480654    36686.018481946536   -46135.325877294978        31.897        5 
     33.517906852   1.4775087377366654    0.3276932073252603    1.8447686955532769    243716.325885710656    39970.529628023214   -46984.813586497243        32.390        5 
     33.518254259   1.4667029465468282    0.3394485003551128    1.8383997609778264    248153.489869520592    43471.364320942186   -47715.361743717833        32.891        5 
     33.518601655   1.4559602713413102    0.3513787401265999    1.8320865238173796    252544.789262010076    47171.357019204806   -48546.566639384997        33.396        5 
     33.518948877   1.4452887603198781    0.3634804349014172    1.8258278429625836    256924.290294336708    51105.882882264865   -49263.005668437690        33.905        5 
     33.519296100   1.4346853755231710    0.3757625704045456    1.8196165489653235    261312.309051527409    55233.084463573250   -49959.281789999834        34.422        5 
     33.519643322   1.4241527641783007    0.3882280313331145    1.8134491044781076    265592.514449704671    59661.674971268410   -50663.386465480515        34.939        5 
     33.519990544   1.4136936447996880    0.4008796377499472    1.8073223459844932    269821.137542997254    64325.208296247787   -51291.986661570118        35.459        5 
     33.520337951   1.4033054338978184    0.4137269742617031    1.8012301930221934    273961.892846184201    69262.404096837112   -51861.645529131900        35.980        5 
     33.520685174   1.3930018484153333    0.4267594843700706    1.7951763794734013    277967.486253734503    74487.185890723311   -52354.106273842968        36.500        5 
     33.521032396   1.3827804097138137    0.4399866059510243    1.7891553294224392    281826.598021634854    80004.421818979652   -52793.597583698545        37.018        5 
     33.521379792   1.3726389075192624    0.4534181651605202    1.7831617643597222    285492.747578204377    85835.508437914425   -53149.489990500253        37.532        5 
     33.521727014   1.3625910251843096    0.4670429076612101    1.7771998835386376    288944.078010761761    91976.387762079670   -53424.020705106945        38.040        5 
     33.522074236   1.3526346867849262    0.4808704554542579    1.7712647720787118    292146.274263452331    98428.658391367135   -53575.669344144764        38.540        5 
