Decimal day (2023)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
     60.208311181   1.9878090997977360    0.7002713634558515    0.5712134122045021     66239.577914449546    36602.745323296171    -5725.059703975880        10.150        4 
     60.208658403   1.9756156148188229    0.6940114187627459    0.5641731747000778     67877.351415483732    37109.486915765228    -5864.073377966706        10.318        4 
     60.209005625   1.9634234871800720    0.6876755346481753    0.5570837770826529     69562.178050281611    37630.131503542514    -6009.530765843359        10.492        4 
     60.209353032   1.9512269024275488    0.6812590122801772    0.5499392376611595     71297.622284607263    38155.297233273785    -6152.418424530584        10.670        4 
     60.209700255   1.9390390995144511    0.6747671819312377    0.5427446512970470     73078.666371299681    38686.300976664439    -6302.452797697671        10.853        4 
     60.210047477   1.9268543220151331    0.6681953365440009    0.5354938044343280     74917.525640500069    39225.809208397230    -6463.830764371516        11.041        4 
     60.210394873   1.9146668120088288    0.6615385892110124    0.5281801826708132     76805.809578695393    39772.685521433712    -6634.103970584300        11.235        4 
     60.210742095   1.9024898640287988    0.6548024389058023    0.5208085641584330     78755.667675711680    40331.843532058934    -6805.132784367863        11.434        4 
     60.211089317   1.8903177807334366    0.6479819790878664    0.5133721310566381     80756.349699108949    40892.377872843150    -6975.406174219002        11.639        4 
     60.211436725   1.8781449089768507    0.6410721223808702    0.5058637161912302     82813.965321276133    41466.950902311510    -7169.644666980577        11.849        4 
     60.211783947   1.8659845878271291    0.6340785593939955    0.4982876614229172     84939.208382903191    42043.753449109907    -7361.358892969816        12.066        4 
     60.212131169   1.8538311948336519    0.6269961736271873    0.4906363954321507     87112.309993486298    42628.089731638975    -7557.312226921826        12.288        4 
     60.212478565   1.8416791518438931    0.6198196720273738    0.4829018990506576     89356.883348150586    43216.484042329073    -7771.297566290064        12.516        4 
     60.212825787   1.8295418773728647    0.6125549463502270    0.4750879752302771     91660.668133807791    43825.672365867205    -7974.839269218053        17.439        5 
     60.213173009   1.8174138352114944    0.6051966963796371    0.4671860750397686     94004.131501093565    44412.472711577371    -8200.245836943046        17.677        5 
     60.213520417   1.8052895446758548    0.5977393926398316    0.4591871008714581     96453.239867926313    45050.530611203583    -8445.820000612908        17.927        5 
     60.213867639   1.7931825015619227    0.5901891676943781    0.4510941118799011     98966.238826931803    45664.694356784428    -8670.042397470672        18.182        5 
     60.214214861   1.7810872367404884    0.5825405174084383    0.4428972822496964    101522.555283215799    46266.726460504520    -8922.625205422071        18.441        5 
     60.214562257   1.7689984262689471    0.5747877025169303    0.4345861371378420    104194.697107388260    46942.825280405261    -9181.509492955840        18.713        5 
     60.214909479   1.7569295807839620    0.5669371227971871    0.4261627055917779    106904.358649567672    47567.008469665954    -9440.991871063376        18.987        5 
     60.215256701   1.7448754068840802    0.5589830749050826    0.4176155234695659    109703.544857295579    48207.826721292840    -9714.005664863576        19.270        5 
     60.215603924   1.7328369198144522    0.5509238440952440    0.4089368279957990    112572.822398401448    48857.591055490811    -9987.064414744269        19.560        5 
     60.215951146   1.7208151845697770    0.5427577299823548    0.4001181776053773    115503.192857145201    49526.911811551508   -10265.471026695606        19.857        5 
     60.216298553   1.7088050431145236    0.5344786813918210    0.3911457085604502    118515.228104648791    50218.859864727790   -10560.606729851526        20.163        5 
     60.216645775   1.6968201783768380    0.5260936092778199    0.3820187581919467    121642.670609640380    50890.687002893232   -10854.653703048116        20.479        5 
     60.216992998   1.6848554793551627    0.5175965430562230    0.3727218180147234    124835.923366674309    51588.832296884881   -11142.409372042839        20.802        5 
     60.217340394   1.6729059778444084    0.5089812609339417    0.3632379724167225    128112.002338554128    52273.311245458230   -11428.932019279462        21.132        5 
     60.217687616   1.6609853836296082    0.5002550777359902    0.3535640329728627    131447.470613745740    53017.096324443548   -11774.098866791541        21.471        5 
     60.218034838   1.6490887893179449    0.4914119005305065    0.3436807887430535    134899.886999772280    53713.622460339080   -12067.640280377655        21.818        5 
     60.218382060   1.6372175534306959    0.4824501317695277    0.3335725008243278    138426.500662956474    54473.110151593115   -12380.305254293206        22.175        5 
