Decimal day (2017)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    139.213478437   1.9879454123491160    0.1040094281451285    0.9880548507285998    100172.014582102216    15570.633996871791   -13260.817714996447        12.784        4 
    139.213825660   1.9758960058061794    0.0978195205933112    0.9650030183616541    102077.781274544861    15883.772254721081   -13399.580464455445        17.665        5 
    139.214172882   1.9638505912041169    0.0915892179110828    0.9393009239174280    104029.140251495744    16275.834394564474   -13479.644380268794        17.864        5 
    139.214520289   1.9518034825616941    0.0853231767684542    0.9103114581657242    106030.418799358231    16711.905510767690   -13533.193295664070        18.067        5 
    139.214867512   1.9397678083014553    0.0790389922350531    0.8772420956287366    108061.279853565939    17219.864684085362   -13529.431166604763        18.274        5 
    139.215214907   1.9277316551286996    0.0727457804525188    0.8389495309977233    110163.782885821813    17808.507275796092   -13409.199746583174        18.488        5 
    139.215562130   1.9157081860636187    0.0664725670104053    0.7939550733720825    112277.273078789993    18493.046116015455   -13150.569956690893        18.703        5 
    139.215909352   1.9036918078332257    0.0602489000300920    0.7401236105115903    114498.575277426542    19278.690675907594   -12722.226000329878        18.929        5 
    139.216256759   1.8916769473509980    0.0541206489692804    0.6744205974524983    116750.972682468098    20266.034239735287   -12023.349433836367        19.159        5 
    139.216604155   1.8796705694216729    0.0481660769847830    0.5925822385979534    119036.667685842054    21384.406894089876   -10919.683237867968        19.392        5 
    139.216951563   1.8676734197828189    0.0425022347560438    0.4885166574876879    121390.345172631685    22704.609419928314    -9225.799314053851        19.632        5 
    139.217298958   1.8556862586778735    0.0373138964752745    0.3539422312450528    123800.589451011489    24089.251663001029    -6674.085617137063        19.878        5 
    139.217646181   1.8437161003694684    0.0328905738655491    0.1791847876418614    126271.647951009814    25329.102263344175    -2897.152893545629        20.130        5 
    139.217993403   1.8317575162645174    0.0296439160960942    6.2403323523261198    128782.738356585003    25964.325304281134     2322.188852267227        20.388        5 
    139.218340810   1.8198051388363476    0.0280634927707887    5.9766954496893741    131391.926621300168    25155.873491308907     8739.359553666414        20.655        5 
    139.218688218   1.8078660497158996    0.0285101396224717    5.6988946365558606    134030.419420998689    22567.253995863186    15223.875065372433        20.925        5 
    139.219035613   1.7959411804097323    0.0309717954783866    5.4438941571094928    136745.151737591805    18781.061757580974    20555.292078035498        21.204        5 
    139.219382836   1.7840376658804606    0.0350930452159249    5.2338240138238570    139509.361311811546    14847.965522580060    24271.142906526522        21.487        5 
    139.219730058   1.7721502336557884    0.0404317764878583    5.0699920250884301    142366.002887210983    11429.925031626241    26786.722161003672        21.780        5 
    139.220077465   1.7602737289695232    0.0466308039775117    4.9439087144514247    145264.852061070298     8682.854000838284    28537.762671660359        22.078        5 
    139.220424688   1.7484215407839609    0.0534370500823888    4.8461111173423648    148257.891821086319     6541.515426805977    29870.396561811158        22.386        5 
    139.220772083   1.7365824085860115    0.0606989154480616    4.7687696514846580    151311.579752523481     4880.204843458823    30952.706488607379        22.701        5 
    139.221119306   1.7247697623986014    0.0683078763162016    4.7063771625842339    154440.024268238922     3585.231557913898    31933.456393789096        23.023        5 
    139.221466528   1.7129785711071399    0.0762026072584284    4.6549707419889188    157642.174291242030     2566.928389303323    32856.801106039573        23.354        5 
    139.221813935   1.7012039204145284    0.0843447223959530    4.6117843121905064    160943.959680829808     1766.214555708199    33777.635831012471        23.694        5 
    139.222161331   1.6894531802322987    0.0927016320262496    4.5748984468143803    164292.036200123839     1117.018429578116    34714.111734712773        24.041        5 
    139.222508553   1.6777337007964552    0.1012494494314896    4.5429254665618721    167751.641966275463      613.799158888480    35651.554883862729        24.398        5 
    139.222855961   1.6660346242514583    0.1099838144722432    4.5148040034342687    171301.751594604924      218.230717619750    36645.125980477380        24.766        5 
    139.223203183   1.6543694722760558    0.1188865494229160    4.4897972833521003    174926.589614710945     -103.513350869966    37658.109144604387        25.142        5 
    139.223550579   1.6427275022196042    0.1279607452236786    4.4672981845783903    178670.319378795219     -360.100357669817    38726.864547093741        25.530        5 
    139.223897986   1.6311162529058350    0.1371976893434581    4.4468730647541284    182501.865916259645     -576.784935430274    39831.594109555655        25.928        5 
    139.224245208   1.6195432684951541    0.1465898600711063    4.4281819714134372    186406.644928983733     -710.830747238400    40980.708599314006        26.334        5 
    139.224592431   1.6080040235743569    0.1561405733723828    4.4109379928186829    190446.478121023742     -826.893450394171    42191.486742080000        26.755        5 
    139.224939653   1.5965001520467841    0.1658492038856476    4.3949204408661311    194572.045795196580     -919.474389681960    43406.306305200793        27.184        5 
    139.225287049   1.5850273369408385    0.1757210074663899    4.3799431783077489    198813.576766977843     -960.960874394332    44730.606830427685        27.627        5 
    139.225634456   1.5735933091597192    0.1857515374053143    4.3658688372298879    203189.642493115301    -1000.591765722333    46065.239043052832        28.083        5 
    139.225981678   1.5622057719644660    0.1959364190536657    4.3525836236376634    207657.337343768450    -1035.144835653788    47486.199539165886        28.551        5 
    139.226329086   1.5508546976972064    0.2062875743652720    4.3399735969509887    212269.170643966441    -1049.335820260989    48954.693651810172        29.033        5 
    139.226676308   1.5395537914484312    0.2167958313853759    4.3279681338505513    217027.022123565141    -1061.499078009692    50486.280189601588        29.531        5 
    139.227023704   1.5282932590088414    0.2274739233536397    4.3164838420490561    221924.097258848342    -1032.256322695066    52084.030209035263        30.044        5 
    139.227371111   1.5170810021686738    0.2383184147516851    4.3054670120182710    226933.823650407401    -1031.636973671506    53725.132095654699        30.569        5 
    139.227718333   1.5059249395617655    0.2493256877780526    4.2948715830218287    232139.935821358929    -1023.115794372636    55454.906575126908        31.116        5 
    139.228065556   1.4948213563762622    0.2605036204939891    4.2846476107534510    237460.640676055220    -1006.564202531183    57262.414975853542        31.675        5 
    139.228412778   1.4837724836345718    0.2718546045523612    4.2747568844237271    242998.954307618522     -974.664024779318    59152.011193490747        32.258        5 
    139.228760174   1.4727749243809733    0.2833871621773520    4.2651613189363928    248749.788782238466    -1052.108305181595    61000.796185411222        32.861        5 
    139.229107581   1.4618367936825141    0.2950980147418483    4.2558372345068989    254683.471484088601    -1336.196136822851    63035.130013926930        33.486        5 
    139.229454803   1.4509662104312731    0.3069835474417497    4.2467637998883809    260785.906124189292    -1531.866108156319    65189.631620884058        34.130        5 
    139.229802199   1.4401543561606831    0.3190588439951311    4.2379093004146142    267161.093435963790    -1598.369063719612    67321.609858661308        34.800        5 
    139.230149606   1.4294095295020037    0.3313204910995844    4.2292587296622237    273779.964885527210    -1729.951863189955    69616.381322923611        35.498        5 
    139.230496829   1.4187399216802039    0.3437647358406584    4.2207989357020761    280685.379554869083    -1769.513739775852    71868.688246859820        36.223        5 
    139.230844225   1.4081372152771565    0.3564073551305982    4.2125054954916488    287860.994217294618    -1901.370116034246    74310.112187713836        36.979        5 
    139.231191632   1.3976097907045466    0.3692447323552209    4.2043689668323232    295350.865308492561    -2063.256956484896    76892.757709344325        37.769        5 
    139.231538854   1.3871660164668411    0.3822728540510230    4.1963809861853605    303188.289299245691    -2212.356036611658    79528.923331406186        38.594        5 
    139.231886262   1.3767980327707898    0.3955081383904256    4.1885220393786931    311381.262908128265    -2369.550093634010    82314.091075208926        39.457        5 
    139.232233484   1.3665196947212581    0.4089396006449731    4.1807902377080932    319980.589255782194    -2521.102629803368    85169.768911743755        40.362        5 
    139.232580880   1.3563234957576682    0.4225840497379151    4.1731684063769867    329026.716703707585    -2614.812641058859    88133.404326051503        41.312        5 
    139.232928287   1.3462180839815814    0.4364373174766433    4.1656523332166699    338525.932661301340    -2714.395646063465    91234.796385859125        42.310        5 
    139.233275509   1.3362119861775401    0.4504947598647583    4.1582383984893561    348531.369755288702    -2735.850764302275    94480.835968692743        43.361        5 
    139.233622905   1.3262982453753243    0.4647737073347510    4.1509120557828858    359081.477771784295    -2702.168361910240    97850.589433814894        44.467        5 
    139.233970313   1.3164856157064808    0.4792695214858639    4.1436709354981573    370231.634900446516    -2548.471176019579   101410.571632226798        45.636        5 
    139.234317535   1.3067827403617174    0.4939770521456610    4.1365131067799741    381965.563733185409    -2287.613928788167   105112.549126444326        46.866        5 
    139.234664931   1.2971832247445776    0.5089140944179180    4.1294258903017518    394457.273685467429    -1850.234844473336   108950.649056199880        66.913        6 
    139.235012153   1.2877008615440111    0.5240674765671940    4.1224119000950168    407590.145837554010    -1189.382417442335   113012.720676491372        68.287        6 
    139.235359560   1.2783296311468588    0.5394552561526075    4.1154594506713256    421466.392386502586     -318.214215000684   117337.360732008703        69.739        6 
    139.235706968   1.2690784805972930    0.5550717390940053    4.1085681551795865    436192.691331998794      982.355877113587   121749.850199551423        71.276        6 
    139.236054190   1.2599561820956011    0.5709106401445890    4.1017378448060917    451730.477911612834     2473.193948862230   126340.585950218840        72.897        6 
    139.236401586   1.2509573670968772    0.5869903293488831    4.0949579404105751    468123.427103684866     4440.777264003089   131182.436838137306        74.607        6 
    139.236748993   1.2420909992441684    0.6033043207685579    4.0882288338713071    485591.090827693581     6906.975856240984   136285.517832789250        76.430        6 
    139.237096215   1.2333659072591481    0.6198454411929986    4.0815510416883551    504086.364843857591     9937.321052787738   141491.569843540638        78.356        6 
    139.237443438   1.2247817598901749    0.6366234655023194    4.0749182753380904    523513.450166395982    13688.975391836982   146956.841926502122        80.382        6 
    139.237790833   1.2163386485456649    0.6536483973215864    4.0683246046477395    544215.092997965170    18241.771003767906   152576.899834500597        82.539        6 
    139.238138056   1.2080498373961388    0.6709034005923732    4.0617744569259298    566014.626358310343    23756.010559600778   158324.812379056471        84.812        6 
    139.238485278   1.1999154330580255    0.6883978797068253    4.0552622263728972    589060.194357741857    30402.831471450394   164235.808202017826        87.218        6 
    139.238832685   1.1919359194422450    0.7061415160535539    4.0487824461132611    613338.355997966486    38453.612065317691   170137.034232050588        89.756        6 
    139.239180081   1.1841202402007347    0.7241253006858488    4.0423365680554300    638841.709382158471    48230.308415210748   176060.714407661464        92.431        6 
    139.239527488   1.1764730796789455    0.7423490014638928    4.0359227986684090    665343.746632886352    59877.216021463333   181857.063971889525        95.224        6 
    139.239874711   1.1690030385786057    0.7608023979050254    4.0295427347459851    692858.155067400890    74032.159994913905   187509.310663275915        98.149        6 
    139.240222106   1.1617070471065396    0.7795037833353557    4.0231881397394371    721026.393987743184    90740.518334925757   192913.648068141803       101.178        6 
    139.240569329   1.1545975017070784    0.7984324519485787    4.0168641087486758    749514.490190945799   110754.751517585188   197733.018371878599       104.293        6 
    139.240916736   1.1476717720902094    0.8176064586623641    4.0105626386120061    777457.564382548095   134255.037750741409   202079.480455744429       107.433        6 
    139.241264144   1.1409384099301707    0.8370139621135564    4.0042856947273586    804423.701206341619   161756.631266569661   205659.408920096525       110.580        6 
    139.241611539   1.1344021686652381    0.8566525310306948    3.9980320160966016    829371.650952974218   193359.362026165705   208715.795753934159       113.672        6 
    139.241958762   1.1280710567899910    0.8765088748164490    3.9918036612396763    851057.724773789174   229130.407762516174   210742.207173559000       116.611        6 
    139.242305984   1.1219463470556279    0.8965898291270089    3.9855962217982404    868328.375448787701   268824.172351880290   212127.758421191073       119.331        6 
    139.242653391   1.1160296790760238    0.9169022584901232    3.9794054106080692    879998.442820814438   312069.593444041093   212351.900008755678       121.744        6 
    139.243000787   1.1103289169469484    0.9374315120440125    3.9732334609813496    884947.120668639429   358004.339866434108   211835.844994370302       123.774        6 
    139.243348194   1.1048486242447975    0.9581728632501745    3.9670794015123283    882130.337294708937   405592.500390500354   210246.289589327702       125.331        6 
    139.243695417   1.0995959425791650    0.9791101567716689    3.9609455025536464    870870.018994359067   453497.454487253737   207639.819449129165       126.349        6 
    139.244042639   1.0945723523903188    1.0002484072063511    3.9548276970223051    850689.597314318293   500139.492313237570   203884.418687511061       126.757        6 
    139.244390035   1.0897796634576513    1.0215925992653063    3.9487219831740763    821737.831324802944   544110.248354112497   199112.435015090392       126.537        6 
    139.244737442   1.0852247011705582    1.0431250803440049    3.9426307411534895    784390.816789076198   583667.118112047669   193195.482988994510       125.654        6 
    139.245084850   1.0809115021759306    1.0648386316992617    3.9365532110679982    739392.781644504284   617311.853088613367   186275.625916092366       124.098        6 
    139.245432245   1.0768439075702214    1.0867255643311156    3.9304886959680783    688412.534169192542   643559.296844994766   178597.674114400579       121.908        6 
    139.245779468   1.0730275449685749    1.1087661902673995    3.9244396092501952    633136.083355474751   661323.076067444170   170328.996178739762       119.117        6 
    139.246126690   1.0694637683068218    1.1309632114653787    3.9184021494553334    576137.380211841315   670384.416636232054   161819.621675647271       115.856        6 
    139.246474097   1.0661542326207334    1.1533191938401859    3.9123725553282833    519505.908057858353   671075.497167332331   153395.882565092470       112.235        6 
    139.246821493   1.0631040075430982    1.1758130321300997    3.9063533323299340    465544.998965112260   664328.848668171675   145139.202196417085       108.403        6 
    139.247168900   1.0603159966847886    1.1984347569957974    3.9003438994982305    415687.696325013530   651761.283672085381   137469.472109290567       104.511        6 
    139.247516123   1.0577941439655354    1.2211620975626609    3.8943468279224498    370987.240878654178   635267.374873773195   130405.529627424839       100.707        6 
    139.247863345   1.0555393975991403    1.2439960228271605    3.8883584136557077    331296.224557482405   616389.733859669650   123828.791718419146        97.060        6 
