Decimal day (2016)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    346.673821852   1.9880203502414551    0.0417729651248102    3.5140620342168591    105211.255133474755   -15999.143732925944     5521.405784269024        17.906        5 
    346.674169074   1.9760388940544251    0.0353323930107326    3.4915514268429599    106805.744439515765   -16722.006845224132     5264.406892340718        18.073        5 
    346.674516481   1.9640560218018517    0.0288253439094709    3.4609810285750768    108407.735041181746   -17502.643669550729     4813.642373231602        18.242        5 
    346.674863877   1.9520785431559600    0.0222682431202492    3.4150783492552539    110045.014393741876   -18333.843560552978     4029.655388592450        18.413        5 
    346.675211100   1.9401133330751770    0.0157024611025740    3.3343032169161222    111693.640609376584   -19270.962664618924     2562.538921711512        18.587        5 
    346.675558507   1.9281485207933997    0.0092733538463165    3.1445223586825377    113358.936166404135   -20059.691879400518    -1244.268678190634        18.763        5 
    346.675905729   1.9161972505294023    0.0042096529125887    2.3743412270724549    115078.071387092641   -13929.519911121404   -15420.221682977974        18.944        5 
    346.676253125   1.9042477151337975    0.0067230206007231    1.0533665657669657    116799.677737731516    11960.210077150887   -17847.727039482808        19.126        5 
    346.676600532   1.8923068484129937    0.0131204449338683    0.7282733575925826    118544.510282630508    17662.784530435067   -13506.395644528431        19.311        5 
    346.676947755   1.8803815960379857    0.0200551643413945    0.6161140476526026    120322.214075213371    19729.782704181147   -11775.974915395354        19.500        5 
    346.677295150   1.8684602661549607    0.0271949058630263    0.5586538875185219    122122.047113770692    21094.838138131377   -10936.171549340508        19.691        5 
    346.677642373   1.8565560450531255    0.0344664157357002    0.5226465122504624    123980.950965787255    22201.588160548406   -10458.058897140139        19.889        5 
    346.677989780   1.8446573325808759    0.0418571793299575    0.4971316772735359    125836.108189366336    23229.569910176364   -10190.598346678238        20.087        5 
    346.678337176   1.8327711596149574    0.0493560757060260    0.4775360142115117    127696.064945477032    24221.670534195844   -10034.346670485218        20.286        5 
    346.678684583   1.8208983826109491    0.0569604178133975    0.4615967589793191    129603.329461820365    25194.230362106937    -9944.224504079288        20.490        5 
    346.679031806   1.8090460588527715    0.0646655359509377    0.4480794825489372    131541.539392574166    26144.283665580304    -9904.135078815776        20.698        5 
    346.679379028   1.7972089056650795    0.0724757717803915    0.4362389597141338    133508.080171298498    27106.322013752208    -9902.723170027839        20.909        5 
    346.679726435   1.7853817328247028    0.0803962620574024    0.4256053996419737    135491.541436665138    28082.024368701899    -9937.613110510762        21.123        5 
    346.680073831   1.7735716802302350    0.0884242864702018    0.4158773783799380    137506.748145068239    29086.647201398540   -10007.109878294021        21.341        5 
    346.680421238   1.7617797663229460    0.0965613997215173    0.4068428090450377    139546.301445320802    30104.576139341338   -10071.696693405336        21.561        5 
    346.680768461   1.7500131577439724    0.1048050082263332    0.3983553846609359    141609.160684127972    31143.937052898353   -10163.695929868740        21.785        5 
    346.681115856   1.7382606875796438    0.1131655198639119    0.3902963599235114    143705.362642938679    32201.598071792996   -10287.190383344332        22.013        5 
    346.681463079   1.7265356950752051    0.1216361606428150    0.3825920039789659    145842.072145670885    33284.057321066633   -10398.212596089625        22.245        5 
    346.681810486   1.7148271358171658    0.1302277655296705    0.3751716070971421    147992.445816287101    34388.086853072789   -10558.364802006432        22.480        5 
    346.682157882   1.7031423309918947    0.1389380175444145    0.3679908345687364    150175.857301848533    35515.242311187503   -10705.757894514934        22.719        5 
    346.682505289   1.6914825136129190    0.1477690527239559    0.3610113408082025    152387.898021210334    36657.319532899724   -10897.269530400050        22.961        5 
    346.682852512   1.6798550067784161    0.1567183739628756    0.3542061240435699    154627.421509607026    37823.417620584194   -11116.967462779374        23.207        5 
    346.683894537   1.6451313573687174    0.1843357998931303    0.3345829974300600    161507.539217195153    41521.370510616965   -11693.170452056163        23.967        5 
    346.684241944   1.6336165275358692    0.1938044460538023    0.3282513572293695    163861.183649112500    42822.822185193516   -11967.786090134856        24.229        5 
    346.684589167   1.6221410103633731    0.2034027006114522    0.3220069916139348    166243.395988312666    44140.426228121774   -12265.127980261930        24.494        5 
    346.684936563   1.6106944373176226    0.2131430149876897    0.3158335773797651    168654.834610574821    45483.607326751087   -12592.675425725020        24.763        5 
    346.685283785   1.5992903064798067    0.2230177717485280    0.3097292346613378    171073.794956251542    46925.056503171043   -12932.874581318372        25.036        5 
    346.685631192   1.5879184220588627    0.2330397908013373    0.3036804852695628    173574.686912929203    48290.050256462237   -13305.808367865149        25.316        5 
    346.685978588   1.5765864468206308    0.2432065462354339    0.2976844122289581    176051.166053383931    49787.079210712742   -13600.250008465031        25.596        5 
    346.686325810   1.5653020490869956    0.2535152615832326    0.2917387458821208    178594.432066115376    51291.674862813234   -13986.680388918059        25.884        5 
    346.686673218   1.5540552738849440    0.2639793275523278    0.2858326569713949    181123.980431687727    52832.503773981342   -14376.839031774145        26.172        5 
    346.687020440   1.5428597608480410    0.2745905271760920    0.2799682823583297    183703.424762304785    54429.918337518742   -14841.605796216052        26.467        5 
    346.687367847   1.5317057864875356    0.2853626452805047    0.2741359465798051    186324.504324097419    56061.551532565674   -15319.226760466445        26.768        5 
    346.687715243   1.5206012191080143    0.2962929525658849    0.2683355845543933    188950.975272629963    57746.311143661391   -15834.414404515683        27.071        5 
    346.688062650   1.5095481327024249    0.3073842183278999    0.2625644697566015    191598.708813033649    59472.338811769900   -16391.021540925649        27.379        5 
