Decimal day (2022)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    310.864729549   1.9878176888398014    0.6529842256247289    3.6769158950293068    117503.012288164638    19333.675341548987     8697.539418543012        19.190        5 
    310.865076771   1.9756425403419913    0.6467428113561432    3.6695438955799129    120197.093564101175    19026.618734983858     8659.579564047635        19.450        5 
    310.865424167   1.9634626519640614    0.6404230961264038    3.6621064128195351    122917.363255766788    18679.949782675423     8633.930816841232        19.713        5 
    310.865771574   1.9512849051965713    0.6340270365022944    3.6546043444348650    125732.763283222463    18329.503412092861     8575.586695743892        19.985        5 
    310.866118796   1.9391162111520888    0.6275567135621954    3.6470385554096776    128630.317015249486    17917.559150171321     8511.284254560436        20.265        5 
    310.866466019   1.9269507907011547    0.6210075016046540    3.6394018305469986    131545.123991147761    17501.791856186923     8449.347827375146        20.547        5 
    310.866813241   1.9147892547786194    0.6143780622465458    3.6316906511755871    134542.160430437216    17058.328794853245     8392.441012505136        20.838        5 
    310.867160463   1.9026322013948065    0.6076670404631487    3.6239012445944701    137594.163516932487    16531.984543090890     8249.913440082120        21.133        5 
    310.867507685   1.8904803071985836    0.6008730558205098    3.6160295731818048    140715.452750375494    16012.430260397123     8160.207678715051        21.436        5 
    310.867855081   1.8783278957851905    0.5939911092975272    3.6080671656645031    143930.684384196938    15461.245839511270     8084.005615181319        21.748        5 
    310.868202488   1.8661819855779418    0.5870233046293154    3.6000134708896327    147180.471878276963    14861.073398844048     7954.200917231814        22.064        5 
    310.868549711   1.8540496333572960    0.5799719023039325    3.5918677855497569    150507.904579746595    14305.332104870264     7711.310660721552        22.388        5 
    310.868897106   1.8419189313549893    0.5728281185947950    3.5836162797224125    153904.715183758060    13591.076283551607     7463.947527809716        22.718        5 
    310.869244329   1.8298032708138250    0.5655979220792340    3.5752618400726628    157366.040383711224    12880.583128542494     7448.633612836318        23.057        5 
    310.869591736   1.8176908694110825    0.5582723145178422    3.5667895589984742    160885.588628710044    12064.510697627862     7347.925563049146        23.400        5 
    310.869939144   1.8055888367216948    0.5508535615802759    3.5581971144416373    164483.974087999755    11215.115409273436     7181.201289080702        23.752        5 
    310.870286366   1.7935043378335931    0.5433441101964946    3.5494818807914115    168129.172495730949    10370.370602154333     6997.315740569778        24.109        5 
    310.870633762   1.7814256744038852    0.5357346273819485    3.5406269961406727    171869.356375428295     9442.114237816015     6801.933930041923        24.476        5 
    310.870980984   1.7693663492732437    0.5280315628296849    3.5316332561954789    175669.466656581790     8455.949491181105     6608.229465877474        24.850        5 
    310.871328391   1.7573147482200002    0.5202253931553086    3.5224821454881918    179501.008349677169     7428.990684017743     6372.814914464027        25.227        5 
    310.871675787   1.7452781650200784    0.5123186106032834    3.5131683783890217    183430.361694588704     6348.083026874941     6125.233095773470        25.614        5 
    310.872023194   1.7332576309725796    0.5043097431777652    3.5036811292476520    187417.761283581378     5199.675654301798     5869.681866026971        26.008        5 
    310.872370417   1.7212604551810780    0.4962015868955418    3.4940137092843071    191473.366329919023     4004.229112959307     5616.371439556162        26.410        5 
    310.872717812   1.7092752337703325    0.4879842628599181    3.4841431559577898    195592.521520410199     2732.981157340677     5300.843129644916        26.818        5 
    310.873065035   1.6973156186763132    0.4796649182094740    3.4740656523784508    199742.257290722453     1418.571267067615     5008.243565761084        27.231        5 
    310.873412442   1.6853703155140016    0.4712335378022483    3.4637552738397970    203967.744332316041       61.691975670794     4681.605880506366        27.652        5 
    310.873759850   1.6734468156700952    0.4626931147537743    3.4532001970151689    208254.390952444868    -1403.506959245380     4328.505559220917        28.080        5 
    310.874107072   1.6615525589767688    0.4540469277631839    3.4423874248176283    212585.249431997596    -2900.240598036398     3959.027859079513        28.514        5 
    310.874454468   1.6496764998047473    0.4452848111030300    3.4312850636270320    216965.820111371111    -4502.756584853836     3571.864933351975        28.954        5 
    310.874801690   1.6378323626607272    0.4364148149327722    3.4198818552610017    221399.133245674369    -6117.019835420724     3195.779033788047        29.401        5 
    310.875149097   1.6260092304744913    0.4274267374511970    3.4081406320465457    225887.329755854880    -7813.830982698579     2771.679790667356        29.854        5 
    310.875496493   1.6142147610658941    0.4183243566548360    3.3960390924229276    230414.856281356479    -9562.947643182037     2287.672129457242        30.312        5 
    310.875843900   1.6024504761011069    0.4091070083419706    3.3835458512052581    234975.720410223294   -11391.907823566435     1792.917971866154        30.776        5 
    310.876191123   1.5907240410552734    0.3997791336972302    3.3706327481228611    239572.203987505869   -13288.436705490094     1265.837018717106        31.244        5 
    310.876538519   1.5790249061462027    0.3903307708880866    3.3572470076186849    244201.201212341286   -15235.282355916221      676.329511785592        31.718        5 
    310.876885741   1.5673669097077281    0.3807718192563151    3.3433584947648267    248872.307172863279   -17273.830006205782       94.329473679274        32.197        5 
    310.877233148   1.5557396795624492    0.3710927073285556    3.3289029924788789    253572.414071113861   -19342.180820269583     -579.189174780193        32.681        5 
    310.877580556   1.5441511170388094    0.3612991675057415    3.3138312843534536    258274.872781797836   -21465.381232948610    -1313.363488569054        33.167        5 
    310.877927951   1.5326031063337515    0.3513924517502512    3.2980794388084873    262980.195973295253   -23636.124344191252    -2113.526019626996        33.655        5 
    310.878275174   1.5211035693522155    0.3413796128466791    3.2815835408998653    267728.633761281846   -26026.005524304637    -2657.336560032140        34.150        5 
    310.878622396   1.5096484791544487    0.3312580392598625    3.2642524947788902    272473.919651469216   -28347.236731318313    -3543.570649131281        34.647        5 
    310.878969803   1.4982340059717896    0.3210256820205255    3.2459812528397083    277205.360199772229   -30627.023967406676    -4487.930379230585        35.143        5 
    310.879317199   1.4868682790526992    0.3106920978936002    3.2266688165182265    281977.891883079603   -32972.402198720556    -5575.324934035283        35.645        5 
    310.879664606   1.4755535357494369    0.3002627764467976    3.2061881166214685    286713.837714475230   -35321.194368158482    -6715.449832915586        36.146        5 
    310.880011829   1.4642979226988695    0.2897501777762612    3.1844035015385681    291464.785610617895   -37704.613088702179    -7988.345564883256        36.650        5 
    310.880359051   1.4530979261689412    0.2791576390733587    3.1611331387586183    296213.954484117276   -40055.864876228115    -9380.612109321535        37.156        5 
    310.880706447   1.4419501998089832    0.2684904826997908    3.1361628465047184    300953.272312844463   -42431.837132473243   -10932.381494077696        37.663        5 
    310.881053854   1.4308631699565673    0.2577678318181557    3.1092684572599372    305648.903664697194   -44756.076694781870   -12642.586350104346        38.167        5 
    310.881401250   1.4198394497615490    0.2470066573562567    3.0801718908368181    310389.712840153952   -46971.595057138657   -14541.650748157479        38.676        5 
    310.881748472   1.4088874571296588    0.2362337081681589    3.0485616311214354    315057.565450656461   -49137.702260071725   -16659.552481190836        39.180        5 
    310.882095880   1.3979985756638127    0.2254641431354161    3.0140154887533517    319747.540342722321   -51172.744360943048   -19058.309098496269        39.688        5 
    310.882443102   1.3871870407036104    0.2147420767236255    2.9761080955201922    324437.728552011016   -53055.408575667068   -21729.316688125422        40.196        5 
    310.882790509   1.3764445707207884    0.2040975883030253    2.9342527113545280    329112.390203632764   -54713.475418597103   -24739.491821137934        40.705        5 
    310.883137905   1.3657799151361574    0.1935880598481284    2.8878215063542916    333783.791680404393   -56094.404240040181   -28179.068312569361        41.214        5 
    310.883485312   1.3551962415572103    0.1832785369226466    2.8360561922707035    338434.892864002148   -57087.200045002246   -32020.730373015816        41.721        5 
    310.883832535   1.3447022631132519    0.1732558856110486    2.7781117262283490    343120.114219591662   -57617.524938246970   -36343.707326807977        42.232        5 
    310.884179757   1.3342958202999498    0.1636169916313007    2.7129741855427465    347793.176018107217   -57571.293318229094   -41236.757962156858        42.743        5 
    310.884527153   1.3239750270698898    0.1544847733161840    2.6395315964775778    352456.163654107135   -56719.174973290821   -46658.597709028647        43.253        5 
    310.884874560   1.3137489057615681    0.1460216075201351    2.5567336259927975    357170.072989844019   -54891.363606707033   -52674.183949672675        43.768        5 
    310.885221956   1.3036211301388669    0.1384172441708299    2.4636303840609513    361892.152612441976   -51823.426399717122   -59191.483066038527        44.284        5 
    310.885569178   1.2936006500421351    0.1318961854557212    2.3596926782185457    366630.906163228326   -47324.962635558702   -66054.096290471120        44.803        5 
    310.885916586   1.2836809085180527    0.1266969921217536    2.2449095582689265    371369.478927750723   -41163.904982265405   -73024.336328946010        45.321        5 
    310.886263808   1.2738762077155366    0.1230764177321294    2.1205279670718888    376108.246923946484   -33277.279457564015   -79732.434612030731        45.840        5 
    310.886611215   1.2641804296211332    0.1212595226489925    1.9888077693925335    380859.436585182033   -23789.161651091243   -85707.438803264551        46.361        5 
    310.886958611   1.2546028484949969    0.1214198306284814    1.8533816026090215    385619.078558513429   -13000.053085580905   -90539.326972601921        46.882        5 
    310.887321389   1.2447323123233855    0.1237867397231628    1.7126134515933031    390566.931796036195     -876.111152369267   -94054.565556565954        66.171        6 
    310.887668785   1.2354098519833752    0.1281400899933277    1.5827185004109459    395280.916053301131    10850.728320443275   -95921.577280597063        66.688        6 
    310.888016192   1.2262189259671972    0.1344247490140313    1.4609374100063908    399881.383756964817    22175.313941590837   -96519.400483076577        67.194        6 
    310.888363414   1.2171688069716584    0.1424664521313668    1.3493309046103057    404645.421310615551    32812.059382257830   -96029.070893388503        67.716        6 
    310.888710637   1.2082593297114976    0.1520711547585841    1.2486204449459104    409228.456145621487    43049.275947373950   -94517.197467509483        68.218        6 
    310.889057859   1.1994952459491686    0.1630411697346699    1.1586630517046888    413563.524082797114    51719.589529856043   -93369.944162352098        68.710        6 
    310.889405081   1.1908813696911063    0.1751946169399093    1.0787354965951128    418082.197673931660    59380.192624455711   -91198.654665080816        69.199        6 
    310.889752303   1.1824225961277608    0.1883731094827196    1.0078303821320920    422447.523560645233    65593.483040433086   -89456.485188228369        69.675        6 
    310.890099699   1.1741196575204127    0.2024508279164226    0.9448277086271522    426682.030689987179    71184.436785770638   -87956.391547950319        70.141        6 
    310.890447106   1.1659820184301461    0.2173109379964057    0.8887128766592655    430813.420758530556    76162.044320985209   -86477.216705528903        70.594        6 
