Decimal day (2017)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    350.710863866   1.9880104545000683    0.1723940371712628    4.3556640586893334    105420.124296620968      609.140080530975    18841.471280546913        17.959        5 
    350.711211088   1.9760243620764260    0.1666353845082449    4.3328613092489183    107463.115673449065     -174.528374577814    19044.073215590484        18.164        5 
    350.711558495   1.9640367807688139    0.1608583271327942    4.3085717390857052    109511.975487464457    -1014.545597382108    19233.082331171354        18.369        5 
    350.711905718   1.9520607861250936    0.1550759239404454    4.2826404095001385    111612.531628368466    -1929.106209911941    19376.809154301627        18.580        5 
    350.712253113   1.9400844850326247    0.1492906486048807    4.2548325519221795    113779.615608889115    -2903.748677292580    19484.148432224574        18.797        5 
    350.712600336   1.9281209970896023    0.1435187413515330    4.2249375405949365    115961.963965666248    -3941.074195770670    19543.871659826087        19.016        5 
    350.712947558   1.9161647338237129    0.1377695534932452    4.1926650538068468    118204.236318902738    -5057.338506211838    19562.392844761751        19.242        5 
    350.713294780   1.9042163592291224    0.1320580392727847    4.1576962687933889    120497.877014212849    -6258.520270766636    19519.960311420618        19.473        5 
    350.713642187   1.8922703687697831    0.1263993667480728    4.1196433290665553    122819.157897413970    -7525.401053853887    19345.392706922510        19.706        5 
    350.713989410   1.8803399096312199    0.1208214238047168    4.0781247803449627    125194.544033406593    -8891.304969628247    19126.382720213536        19.946        5 
    350.714336632   1.8684194993058143    0.1153479106394117    4.0326427774563012    127622.207982765598   -10340.195159369003    18751.932023100595        20.191        5 
    350.714684028   1.8565037224086087    0.1100084573905288    3.9826315668946597    130084.402054648308   -11904.866655355352    18224.565071293702        20.439        5 
    350.715031435   1.8445995792112384    0.1048451773842639    3.9275190574116166    132618.928981869627   -13514.169818309558    17520.278505138187        20.695        5 
    350.715378843   1.8327079058241722    0.0999053559874146    3.8666685513959691    135220.515319187223   -15222.162343917793    16578.395991366640        20.958        5 
    350.715726065   1.8208357264009647    0.0952478843537410    3.7994673368122065    137825.961090139695   -16980.748438551233    15392.830111656931        21.222        5 
    350.716073461   1.8089715791937158    0.0909346403915948    3.7252349761121786    140520.115396958747   -18781.569233314811    13890.530091677603        21.495        5 
    350.716420683   1.7971287080569416    0.0870473208536795    3.6435591268089262    143270.732403182599   -20545.384924516664    12055.920852356572        21.774        5 
    350.716768090   1.7852957329041053    0.0836687959092024    3.5541011930165878    146061.923223506979   -22248.923570632211     9814.710621786779        22.057        5 
    350.717115486   1.7734798038296296    0.0808951586261894    3.4570288167298173    148926.314841243322   -23765.012694658522     7157.994811292512        22.348        5 
    350.717462708   1.7616880822594330    0.0788230675621849    3.3530530964836647    151827.810270961054   -25036.545799954089     4112.845362622758        22.643        5 
    350.717809931   1.7499154427780870    0.0775406698524978    3.2434100676578690    154817.037118730717   -25932.548367280040      713.625154500738        22.948        5 
    350.718157153   1.7381629772843175    0.0771224796078071    3.1300125169687560    157820.921435100172   -26407.787063212283    -2954.072762370994        23.254        5 
    350.718504375   1.7264317935365374    0.0776187231695850    3.0152488628368515    160919.119566904061   -26351.016125274975    -6789.878650788637        23.570        5 
    350.718851597   1.7147230673433826    0.0790491373045324    2.9016929107927800    164052.537541733240   -25770.800339119167   -10670.852763371840        23.891        5 
    350.719199005   1.7030319189036511    0.0814032165432149    2.7916979110407811    167289.240488442883   -24722.550213348688   -14423.410152463250        24.222        5 
    350.719546227   1.6913717380727062    0.0846388502372526    2.6873265702799949    170551.235628012742   -23222.877419785327   -17979.216419093587        24.556        5 
    350.719893623   1.6797316823273394    0.0886997133369770    2.5897956693012265    173902.055762712116   -21395.815530315107   -21279.517455990084        24.900        5 
    350.720241030   1.6681191384354015    0.0935134791058241    2.4998524620775040    177296.271983468061   -19312.101850335552   -24282.585976353264        25.249        5 
    350.720588252   1.6565415113361532    0.0990030745039510    2.4176926949681539    180760.368463285500   -17074.313189968900   -26960.850031100912        25.606        5 
    350.720935475   1.6449941545662712    0.1050994908630826    2.3430329879046323    184296.048091443925   -14695.363678371310   -29400.459618255893        25.970        5 
    350.721282697   1.6334785408358423    0.1117375099764629    2.2753945710456560    187877.233634673263   -12238.589722685032   -31554.388916663898        26.340        5 
    350.721629919   1.6219961690070706    0.1188596918231602    2.2141721893215993    191545.037511910748    -9751.715703572843   -33535.332241270473        26.720        5 
    350.721977141   1.6105486143679681    0.1264166864463641    2.1587180965351336    195276.687035414157    -7187.738689362504   -35290.765040424536        27.107        5 
    350.722324537   1.5991315645636335    0.1343710988244492    2.1083697121246678    199065.086827492196    -4635.091635975310   -36882.582929823395        27.501        5 
    350.722671944   1.5877526439959202    0.1426843250797170    2.0625595661977258    202925.641625759396    -2060.603344487081   -38334.186634390047        27.902        5 
    350.723019167   1.5764194691469027    0.1513230198630368    2.0207655806679319    206867.451738902571      577.424688664392   -39671.682834973493        28.314        5 
    350.723366563   1.5651220213822843    0.1602725619910785    1.9824610583194542    210824.533084586874     3227.127298681698   -40913.590666398944        28.728        5 
    350.723713970   1.5538680561337270    0.1695091657752242    1.9472437894154373    214872.213964831433     5915.512493316040   -42038.304843681763        29.153        5 
    350.724061192   1.5426653099384933    0.1790120404001411    1.9147591420846866    218982.355410459801     8641.514312609652   -43111.315248345665        29.585        5 
    350.724408600   1.5315040483881412    0.1887782652996112    1.8846512621990379    223139.372825622529    11414.862541296287   -44169.693287752612        30.026        5 
    350.724755995   1.5203921555113653    0.1987925900594851    1.8566584824496162    227317.700339221599    14048.734312511806   -45369.728980463442        30.473        5 
    350.725103218   1.5093374826254911    0.2090412749560813    1.8305520989688244    231582.580628374009    16930.878544036037   -46261.798496305149        30.926        5 
    350.725450625   1.4983306388534960    0.2195283554762183    1.8060952089324283    235900.733534787840    19958.224656961902   -47089.898624146248        31.388        5 
    350.725797847   1.4873853224245559    0.2302376568539306    1.7831316140804914    240269.627737979434    23159.383318725559   -47765.896071017283        31.856        5 
    350.726145243   1.4764924299506992    0.2411762702502493    1.7614790680349253    244691.817533457361    26163.424735280380   -48491.932760152122        32.332        5 
    350.726492650   1.4656600385248295    0.2523355797253696    1.7410120605626604    249084.512107702816    29746.073652603736   -49297.534858149003        32.815        5 
    350.726839873   1.4548961595175500    0.2637073095898035    1.7216198690481259    253608.089033554716    33202.350115159170   -49574.754305417096        33.303        5 
    350.727187269   1.4441921058084992    0.2753017281652490    1.7031767418610906    258102.304046192410    36769.280443390395   -50189.922815268939        33.800        5 
    350.728576701   1.4020886775698247    0.3238278002520051    1.6373078685183013    276354.027180463076    52339.380868649852   -50853.631406373577        35.833        5 
    350.728923924   1.3917575473097212    0.3364931273474141    1.6224770826598374    280914.789555562136    56671.903263157685   -50740.425380701767        36.353        5 
    350.729271331   1.3815031528774862    0.3493817352933946    1.6081797334979266    285431.496130081534    61178.153371876397   -50546.728915353349        36.876        5 
    350.729618553   1.3713392437410055    0.3624811509014395    1.5943855750901146    289910.077920756303    65896.685638140116   -50303.612287297583        37.403        5 
    350.729965949   1.3612583799722404    0.3758061675566174    1.5810397429055065    294331.092725604598    70788.393224124506   -49911.614859489047        37.931        5 
    350.730313356   1.3512691012827287    0.3893512789887699    1.5681131296582436    298647.630944115110    75918.743257690512   -49410.044004645199        38.458        5 
    350.730660579   1.3413798713619447    0.4031106224647603    1.5555794869005641    302915.802884923760    81293.884789720512   -48717.601442806525        38.990        5 
    350.731007975   1.3315837559294144    0.4170999686055391    1.5433962305785738    307044.237248858903    86913.400028202319   -47877.116948048577        39.518        5 
    350.731355197   1.3218944704882387    0.4313062223316049    1.5315493770293780    311045.118991911295    92799.513349168861   -46860.728674314858        40.046        5 
    350.731702604   1.3123054705741541    0.4457456876851104    1.5200023819400899    314879.469484826433    98929.961876887959   -45630.198108607656        40.569        5 
    350.732050000   1.3028254773960235    0.4604125107322501    1.5087395552365095    318509.393148580857   105325.273317476443   -44183.053912626056        41.087        5 
    350.732397407   1.2934582325964319    0.4753081726344385    1.4977408862903125    321935.365309363697   112027.495775847041   -42534.036839991219        41.601        5 
    350.732744630   1.2842123431198658    0.4904261719094362    1.4869936767300169    325095.322045647772   118997.882324190534   -40609.165971427719        42.106        5 
    350.733092037   1.2750820714714708    0.5057836156343074    1.4764700592911000    327937.773413627408   126269.917812702435   -38464.465404223942        42.601        5 
    350.733439259   1.2660808961469467    0.5213658002457582    1.4661658010871619    330459.061165375984   133844.175682677247   -36042.827303410872        43.085        5 
    350.733786655   1.2572035073784380    0.5371901411445138    1.4560561542537049    332559.042373409553   141718.647122744005   -33319.656703710833        43.553        5 
    350.734134063   1.2484587209126925    0.5532496429216531    1.4461336902629067    334213.940150198177   149892.813721351558   -30347.519099302808        44.004        5 
    350.734481285   1.2398551936582922    0.5695366574968888    1.4363916162494335    335372.140393025766   158327.971091266663   -27095.436685520130        44.436        5 
    350.734828681   1.2313882356405474    0.5860689172488076    1.4268089077983213    335961.795617735828   167048.539541066712   -23527.947311661228        44.844        5 
    350.735175903   1.2230709885822906    0.6028297696988110    1.4173854646692636    335899.457483237784   176003.433210030606   -19734.753143909162        45.223        5 
    350.735523310   1.2148991474781889    0.6198370433060810    1.4081021630184931    335172.733734179987   185224.825477078120   -15662.774341224016        45.577        5 
    350.735870706   1.2068815658009524    0.6370822283165279    1.3989553417185161    333640.941051369999   194609.659491256054   -11376.827457400323        45.892        5 
    350.736218113   1.1990227125082513    0.6545652159547086    1.3899369917856492    331256.444505242980   204135.513491426769    -6907.759227403956        46.167        5 
    350.736565336   1.1913310828399395    0.6722763843230013    1.3810442732631740    327924.398184315884   213779.252384368796    -2336.358557471773        46.396        5 
    350.736912743   1.1838032409183532    0.6902335499863240    1.3722610305647898    323592.422003079788   223408.387401732907     2345.725464106974        46.573        5 
    350.737259965   1.1764516181326039    0.7084170836185935    1.3635899559849152    318163.664603460580   232989.782337167300     6992.643058903152        46.691        5 
    350.737607361   1.1692731997301673    0.7268446906597340    1.3550160292084452    311529.320252225327   242438.405011629802    11573.186078102444        46.742        5 
    350.737954769   1.1622764704451676    0.7455053932126370    1.3465381721488612    303643.478562059696   251570.001715241495    16028.120571866995        46.714        5 
    350.738301991   1.1554695777620783    0.7643873674372784    1.3381554547868795    294440.788818127767   260220.016437346785    20172.962620419348        46.597        5 
    350.738649387   1.1488500885271795    0.7835079904671732    1.3298542518329608    283915.797603181680   268184.951728637388    24021.656396185295        46.379        5 
    350.738996609   1.1424294864886846    0.8028446629748921    1.3216386030189733    272108.349388779665   275306.206092036271    27468.410248099928        46.056        5 
    350.739344016   1.1362057049891354    0.8224144664997018    1.3134955915146929    259066.255685318261   281307.632363185752    30415.156894676977        45.613        5 
    350.739691412   1.1301866990264273    0.8422038992880533    1.3054254724859615    245053.392311498406   285948.083483369730    32812.318185112112        45.051        5 
    350.740038819   1.1243769873251082    0.8622090246460204    1.2974244034380027    230239.668783810572   289088.004773773951    34676.612518454473        44.369        5 
    350.740386042   1.1187838846338805    0.8824149127358027    1.2894928751967327    214956.103176640929   290562.004263981886    35943.113768820374        43.571        5 
    350.740733264   1.1134087067652043    0.9028271461998379    1.2816233158822392    199595.767312305688   290350.315979758976    36558.152648980853        42.673        5 
    350.741080660   1.1082531196070851    0.9234512382082140    1.2738084449612606    184440.490850484523   288440.867040787707    36552.316341182370        41.681        5 
    350.741428067   1.1033242025846746    0.9442709129886165    1.2660493352375168    169871.985011683137   285006.217965986754    35958.134236037375        40.623        5 
    350.741775475   1.0986260622451505    0.9652799827090687    1.2583431183299896    156186.490700148686   280148.958930534718    34764.896122176702        39.512        5 
    350.742122697   1.0941649396706967    0.9864607151364748    1.2506910151132837    143644.706755455351   274176.170404610340    33118.480109526237        38.379        5 
    350.742470093   1.0899400234317016    1.0078280678559624    1.2430824824689528    132358.568452877458   267344.753331052547    31016.493996746460        37.242        5 
    350.742817315   1.0859594400751100    1.0293522467774334    1.2355229606522020    122506.061372276701   259961.689044336090    28569.885009674326        36.130        5 
    350.743164722   1.0822225501797933    1.0510476476677848    1.2280022447068377    114047.449779230243   252318.605445904075    25854.367434138418        35.060        5 
    350.743512118   1.0787348918036921    1.0728946413206373    1.2205220469511975    106976.069533663322   244655.908608398167    22911.767359332131        34.050        5 
    350.743859525   1.0754996181213856    1.0948843320072901    1.2130802540160865    101136.936198951662   237224.990215208963    19870.247538583717        33.115        5 
    350.744206748   1.0725212266830462    1.1169958691737614    1.2056786685630514     96488.033026532779   230173.694603046868    16701.656116922386        32.264        5 
    350.744553970   1.0698007187147793    1.1392309725694705    1.1983114914588606     92782.071050036087   223675.372617103043    13569.536955318574        31.504        5 
    350.744901366   1.0673394511999679    1.1615912347055859    1.1909730412535344     89974.228308645019   217833.046451169328    10467.918732748250        30.842        5 
    350.745248773   1.0651412453348563    1.1840546939311418    1.1836654067579784     87863.710691415268   212732.036282218411     7445.451303251451        30.278        5 
    350.745596181   1.0632081708164303    1.2066105884429998    1.1763868851055093     86366.544407738751   208416.701256859233     4518.920917440926        29.815        5 
    350.745943403   1.0615428968433425    1.2292360614039168    1.1691396188083585     85238.802011809632   204957.880334424088     1722.190421647974        29.448        5 
    350.746290799   1.0601452590512641    1.2519433960982584    1.1619144791422342     84471.252686596577   202330.364318146982     -964.105300924268        29.176        5 
    350.746638021   1.0590180575015025    1.2746974042149237    1.1547175219985601     83819.011027882603   200544.914327765116    -3544.312790774668        28.989        5 
    350.746985428   1.0581611811753375    1.2975100747204764    1.1475397800097880     83317.760382658540   199572.806017346069    -5961.759578199708        28.885        5 
    350.747332824   1.0575760720413481    1.3203576877954488    1.1403836252656958     82798.225416024594   199470.909176250687    -8260.435470653923        28.863        5 
    350.747680046   1.0572633687005719    1.3432163386609117    1.1332514312802071     82322.170343848673   200227.008349501586   -10416.451040233740        28.924        5 
    350.748027269   1.0572229316572896    1.3660858565617988    1.1261381747263683     81721.926403245976   201937.870792567206   -12462.128027872503        29.070        5 
    350.748374491   1.0574547248839339    1.3889541420133811    1.1190426000319931     80890.646507685044   204664.250808054785   -14316.903453759725        29.304        5 
    350.748721713   1.0579584724380156    1.4118091197799651    1.1119634992443517     79630.407537493360   208497.045140704140   -16038.351190022266        29.626        5 
    350.749068935   1.0587335951127248    1.4346387620519374    1.1048997203808009     77758.197636151453   213446.246833115292   -17610.555592079290        30.035        5 
    350.749416343   1.0597798562306233    1.4574429785067666    1.0978464609751533     74883.593058990140   219436.730388690194   -19034.963080086476        30.514        5 
    350.749763565   1.0610950556461249    1.4801862127795609    1.0908099562726299     70888.141134997670   226293.257126174605   -20325.282342240040        31.051        5 
    350.750110961   1.0626792021390652    1.5028804812004297    1.0837818345088726     65512.772240841652   233832.311393605487   -21508.751114640025        31.629        5 
    350.750458368   1.0645300658164949    1.5255024676135027    1.0767647090688017     58640.218908768213   241776.968150821893   -22571.301686227413        32.231        5 
    350.750805590   1.0666445886111895    1.5480292481780071    1.0697612277896897     50241.009209309603   249875.639648480952   -23511.955745526262        32.846        5 
    350.751152986   1.0690228442342349    1.5704733370700119    1.0627631220486700     40316.660765969558   257846.505316520837   -24370.231282698747        33.461        5 
    350.751500394   1.0716614735842260    1.5928123598376793    1.0557730727233112     28914.456947152779   265478.916759756394   -25159.174562830067        34.073        5 
    350.751847616   1.0745563257346697    1.6150244726060778    1.0487937949086124     16117.283221678557   272471.235813525331   -25877.112186091952        34.667        5 
    350.752195023   1.0777076496216600    1.6371228615824951    1.0418171028580647      2016.206076225299   278641.175823161087   -26514.722334903123        35.241        5 
    350.752542419   1.0811110066121576    1.6590863855618632    1.0348457591394342    -13146.733943436255   283702.299182705348   -27100.416933690205        35.780        5 
    350.752889641   1.0847612619617599    1.6808945904923416    1.0278825118426529    -29165.945164360182   287460.310756150982   -27628.613670165305        36.275        5 
    350.753237049   1.0886588562251607    1.7025614725094560    1.0209192485308496    -45757.583730478204   289731.008849096077   -28059.341653350592        36.716        5 
    350.753584271   1.0927962373673057    1.7240561881815635    1.0139624059106456    -62506.155435047476   290433.298885148717   -28415.425533455877        37.094        5 
    350.753931667   1.0971740361620803    1.7453933156965602    1.0070038886412120    -79073.246023946587   289574.706241969427   -28716.481641134946        37.405        5 
    350.754279074   1.1017863384248623    1.7665542439546318    1.0000465460942101    -95106.725430691557   287215.129305169336   -28927.319915887783        37.643        5 
    350.754626296   1.1066266335375325    1.7875212180560731    0.9930931919069994   -110347.518564293205   283556.534458403650   -29016.041898908545        37.815        5 
    350.754973519   1.1116931847958347    1.8082988766368389    0.9861394212901055   -124565.727725670033   278790.859583507641   -29059.091197079324        37.923        5 
    350.755320741   1.1169818546216483    1.8288812827666363    0.9791844805169602   -137640.371827024879   273164.556149387266   -29015.624905777455        37.976        5 
    350.755667963   1.1224883781858923    1.8492629508456453    0.9722275963328889   -149466.412676640350   266899.407904326683   -28936.848847505404        37.977        5 
