Decimal day (2024)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    329.508345544   1.9877231945010478    1.0001052842931906    1.6946956109646887     47399.501582972567    42404.550137358732    -8647.347338317710         8.978        4 
    329.508692766   1.9754520550586032    0.9938821395027790    1.6881064146439277     48602.529191828042    43152.492642484183    -8763.969131070276         9.118        4 
    329.509040162   1.9631744261973463    0.9875789254677841    1.6814864661280009     49846.936232070890    43915.199710977868    -8882.080709140613         9.262        4 
    329.509387569   1.9508971852115151    0.9811974426179662    1.6748382148248739     51132.797559511782    44695.487864104485    -8989.086537939978         9.411        4 
    329.509734792   1.9386272658711272    0.9747396448994639    1.6681641173834576     52476.040102400904    45497.653006290144    -9109.972407495425         9.565        4 
    329.510082199   1.9263524298627439    0.9681973213779698    1.6614561549480227     53847.294527069898    46324.479311026051    -9219.900896284398         9.723        4 
    329.510429595   1.9140796361301420    0.9615723218326651    1.6547166898966570     55278.452813793163    47185.600011650342    -9343.909099455468         9.888        4 
    329.510776817   1.9018158517969370    0.9548666266835412    1.6479480560755015     56754.270119287103    48052.461349093850    -9451.705067512252        10.056        4 
    329.511124225   1.8895489227688973    0.9480716895197040    1.6411419775085385     58296.077122129340    48947.227761964357    -9575.522186102166        10.232        4 
    329.511471447   1.8772922611826399    0.9411929720534518    1.6343042290578382     59891.828002121249    49868.510411762036    -9691.005124217299        10.414        4 
    329.511818843   1.8650337380692943    0.9342216916913426    1.6274263120769528     61544.803873668170    50814.022640473886    -9809.227118266210        10.601        4 
    329.512166250   1.8527804335569429    0.9271597376056259    1.6205103201317368     63260.440018118599    51790.113011648915    -9927.815841777903        10.796        4 
    329.512513472   1.8405394423048875    0.9200091612565980    1.6135583651594272     65040.297126804508    52786.237368730013   -10048.871509854882        10.997        4 
    329.512860868   1.8282987343612058    0.9127607725235336    1.6065615989829116     66897.110214660846    53810.996699170668   -10168.150602261218        11.205        4 
    329.513208275   1.8160654747991045    0.9054165041321992    1.5995219007112738     68820.189704943070    54864.435185752445   -10275.297141991494        11.421        4 
    329.513555498   1.8038467882934717    0.8979784518611628    1.5924411884081269     70825.980189711976    55949.471957686270   -10391.914847057989        11.646        4 
    329.513902894   1.7916307900204516    0.8904370260197226    1.5853101618544521     72910.699614478392    57070.035631353690   -10503.001985590725        11.878        4 
    329.514250116   1.7794310613868265    0.8827981985013471    1.5781342343351714     75079.734680718000    58196.179313760571   -10624.117909300332        12.119        4 
    329.514597523   1.7672357684768973    0.8750521137883462    1.5709037840041424     77343.847486289989    59367.483691075729   -10735.598473111369        12.369        4 
    329.514944931   1.7550521936406158    0.8672007539943435    1.5636202654457043     79700.164352860666    60562.276097042246   -10845.134849895732        12.629        4 
    329.515292153   1.7428876165895280    0.8592463186057558    1.5562850940567658     82164.778906629188    61799.676878755497   -10941.093039085747        17.587        5 
    329.515639549   1.7307303708123947    0.8511785031882786    1.5488880781411261     84717.709043209921    63057.140755959364   -11054.568060766836        17.866        5 
    329.515986956   1.7185878175173896    0.8429993478323518    1.5414302756688467     87390.722876859887    64360.319878214927   -11175.325147028827        18.158        5 
    329.516334178   1.7064673480904542    0.8347111263246833    1.5339127269718498     90208.050233747359    65677.262419980412   -11288.849535403268        18.463        5 
    329.516681574   1.6943574292006023    0.8263030647720755    1.5263244919863443     93104.776803725617    67025.324543853261   -11421.753155356275        18.776        5 
    329.517028981   1.6822655449961221    0.8177772919697265    1.5186661865482727     96143.965699616063    68400.642961152655   -11496.492212751476        19.103        5 
    329.517376204   1.6701991626430197    0.8091361469590630    1.5109382995753700     99319.565018071968    69815.992820615968   -11600.400862046532        19.443        5 
    329.517723600   1.6581469477131314    0.8003683965269800    1.5031290235804062    102626.443405162325    71264.828759667900   -11703.708047292539        19.797        5 
    329.518070822   1.6461227394335012    0.7914809089149802    1.4952424375190327    106146.352479602079    72728.310028326305   -11808.626631120645        20.169        5 
    329.518418229   1.6341153512984201    0.7824621481446683    1.4872660079009452    109788.597787447245    74231.274580425350   -11909.230780019936        20.554        5 
    329.518765637   1.6221324177633518    0.7733143753052026    1.4791991715613855    113570.234959117006    75713.647429221470   -12021.658439657420        20.950        5 
    329.519112859   1.6101816133549984    0.7640401175472199    1.4710412026429502    117554.710955709379    77218.966184566671   -12104.392734392897        21.364        5 
    329.519460255   1.5982519560888864    0.7546273553345870    1.4627782413612587    121744.282345568034    78760.320266462848   -12238.156708416078        21.799        5 
    329.519807662   1.5863512539671902    0.7450784812846662    1.4544087098971048    126080.354312717071    80307.314634337250   -12358.561735391595        22.247        5 
    329.520154884   1.5744872456914245    0.7353961687736921    1.4459308086705120    130664.420711147832    81862.257605802006   -12505.325263386323        22.717        5 
    329.520502280   1.5626492520142532    0.7255679244739535    1.4373289752513161    135442.690399569459    83413.997552147630   -12620.920178083165        23.204        5 
    329.520849688   1.5508451970140507    0.7155963079560005    1.4286002778365847    140460.196122254332    84945.987697223551   -12748.351894496122        23.712        5 
    329.521196910   1.5390829516391444    0.7054841992125477    1.4197414680357641    145664.372530816909    86478.360740708507   -12899.864991497077        24.237        5 
    329.521544306   1.5273521448291825    0.6952186286508062    1.4107347221179343    151159.851692755154    87945.751361265429   -13050.583206772724        24.784        5 
    329.521891528   1.5156668966118514    0.6848078526413878    1.4015800934153035    156868.114799589122    89430.708878028585   -13216.077790415606        25.353        5 
    329.522238935   1.5040170130914721    0.6742386239443245    1.3922578878417755    162820.764159744023    90861.511022888677   -13452.602631401136        25.942        5 
    329.522586343   1.4924106778118129    0.6635139361020352    1.3827617277504094    169070.247067221790    92207.418797643099   -13689.095919953284        26.554        5 
    329.522933565   1.4808560231379271    0.6526371406407792    1.3730845907825979    175544.977765173244    93501.152638787607   -13947.156680059226        27.186        5 
    329.523280961   1.4693432233676338    0.6415946124044346    1.3632030999458993    182292.244030531117    94680.876474071381   -14247.948181138112        27.838        5 
    329.523628183   1.4578865427911021    0.6303955887617817    1.3531129847832226    189338.707648660289    95778.471338675910   -14581.423569173305        28.516        5 
    329.523975590   1.4464764581659431    0.6190262410377875    1.3427877095750063    196627.430562954076    96783.484274552073   -14988.946519744262        29.214        5 
    329.524322986   1.4351213634230593    0.6074902671919149    1.3322147947623757    204186.352537770930    97664.363154954961   -15456.507006039225        29.934        5 
    329.524670394   1.4238238467950697    0.5957857103002691    1.3213747423135609    212006.265735440509    98358.888370491564   -16020.470699772806        30.674        5 
    329.525017616   1.4125923408004692    0.5839169492510243    1.3102517617612417    220054.171286726953    98895.811637117906   -16603.760843911055        31.430        5 
    329.525365012   1.4014178975926015    0.5718699613683571    1.2988102867473543    228346.965725165937    99255.582585136450   -17337.297861478328        32.207        5 
