Decimal day (2018)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    197.183349606   1.9879246416414766    0.2660990634299757    1.9458494377231561    102959.199311938894    11480.952366628298   -16752.578528714705        13.054        4 
    197.183696829   1.9758485746509229    0.2605954073529632    1.9277785325651633    104760.584333270643    11587.413210139395   -17105.344921295207        13.238        4 
    197.184044225   1.9637698625590061    0.2550645739025793    1.9089930680765994    106577.411837043444    11687.313359529679   -17512.429357385976        18.113        5 
    197.184391632   1.9516953685923346    0.2495127413919728    1.8894465458960434    108456.046441018843    11853.417412112191   -17873.627021367305        18.305        5 
    197.184739028   1.9396256785459101    0.2439437684239957    1.8690778371602048    110356.783620185583    11978.549384718070   -18247.910020047613        18.498        5 
    197.185086250   1.9275677181066557    0.2383649713612754    1.8478312102953287    112312.368065047456    12140.429631801431   -18655.616393414242        18.699        5 
    197.185433657   1.9155095223430390    0.2327756003948556    1.8256110666655840    114298.209828075211    12313.261349403612   -19037.933071359505        18.901        5 
    197.185780880   1.9034643131575111    0.2271872967545999    1.8023599232751863    116298.803394212111    12520.931977717439   -19434.363118657071        19.106        5 
    197.186128275   1.8914202395094395    0.2216009063367450    1.7779653043799606    118366.735591880730    12754.517374713152   -19846.886590162037        19.318        5 
    197.186475498   1.8793905317484561    0.2160298963547307    1.7523558295734196    120470.552308459053    12991.445596394497   -20257.386005883051        19.534        5 
    197.186822720   1.8673696476136850    0.2104801030796376    1.7254135414464968    122587.343135136543    13252.534071588492   -20679.064207381431        19.751        5 
    197.187170127   1.8553520940179269    0.2049586872335579    1.6970080006265573    124774.914415572770    13588.008259737391   -21082.966849576889        19.976        5 
    197.187517350   1.8433511803416336    0.1994828818946673    1.6670434419159121    126973.690719048507    13950.617049885623   -21500.548920641340        20.202        5 
    197.187864757   1.8313551830927248    0.1940601089466695    1.6353529783812579    129223.254857028063    14343.377784000510   -21898.043009482499        20.434        5 
    197.188212153   1.8193712101807891    0.1887082453660037    1.6018057829930257    131487.897805019893    14813.030447041729   -22312.557039709904        20.668        5 
    197.188559375   1.8074063688343156    0.1834471133450399    1.5662651012708082    133825.149548896472    15322.480666852673   -22701.027127352325        20.909        5 
    197.188906782   1.7954490853471847    0.1782907056695747    1.5285296274202274    136199.527937661624    15922.325147819287   -23084.141732491320        21.155        5 
    197.189254005   1.7835127336830592    0.1732664909695153    1.4884677223466543    138573.291526447952    16571.523920521271   -23430.889085067451        21.400        5 
    197.189601400   1.7715858561565456    0.1683942263617318    1.4458634394885044    141008.857941522001    17342.062800385982   -23771.398527097437        21.654        5 
    197.189948623   1.7596818699741519    0.1637071136978363    1.4005883296074431    143477.698512169474    18176.994601075905   -24053.655810947366        21.910        5 
    197.190295845   1.7477955787318100    0.1592340487343231    1.3524561949881870    145977.924746947450    19125.894307249771   -24307.127581330747        22.171        5 
