Decimal day (2020)             r / R_J       theta / radians         phi / radians               B_r / nT              B_t / nT              B_p / nT    Error / nT    Range 
    101.537744907   1.9878861445830842    0.4732808371616019    2.1252537247819343     98094.886159884103    22390.051291052470   -16760.919182939157        17.450        5 
    101.538092130   1.9757693097093036    0.4680696428790017    2.1117188365940551     99920.551320093815    22697.319845563296   -17092.527647229304        17.638        5 
    101.538439352   1.9636555343700297    0.4628228892008477    2.0979072611841096    101769.384430192673    23023.283820723474   -17451.243822211291        17.829        5 
    101.538786574   1.9515453982093507    0.4575414784339388    2.0838054144817431    103679.286955249612    23323.529261661082   -17808.280320983991        18.025        5 
    101.539133796   1.9394394697613233    0.4522264555981244    2.0693989449154389    105603.482759279766    23621.008756125280   -18178.990455318315        18.223        5 
    101.539481019   1.9273383596416709    0.4468789943115912    2.0546726022563528    107608.559386376743    23935.532803590570   -18542.730229690351        18.429        5 
    101.539828241   1.9152426811614658    0.4415004505549053    2.0396102222316754    109645.356993750407    24290.094820483522   -18901.844262882099        18.638        5 
    101.540175463   1.9031530919416690    0.4360923387171502    2.0241946235934898    111742.890219198365    24606.327284639294   -19309.300835879600        18.854        5 
    101.540522685   1.8910702579189829    0.4306563756149441    2.0084076210496331    113876.095982084138    24966.886169171165   -19678.514436428068        19.073        5 
    101.540869907   1.8789948742621112    0.4251944871090585    1.9922298514801831    116062.538477042690    25294.352576391801   -20054.353026853427        19.297        5 
    101.541217130   1.8669276679756415    0.4197088302747454    1.9756408399776584    118279.347646270879    25649.673286941594   -20425.204728478253        19.524        5 
    101.541564525   1.8548630999057383    0.4141989443148279    1.9586098126725302    120594.400007643228    26024.554669361729   -20828.629443056037        19.762        5 
    101.541911748   1.8428144888556708    0.4086732668424845    1.9411313988167511    122905.654215446819    26359.309158602016   -21216.885313656690        19.998        5 
    101.542258970   1.8307763903735346    0.4031319321655726    1.9231723704440196    125294.338316905792    26748.455018177978   -21621.260457305936        20.243        5 
    101.542606377   1.8187433416025998    0.3975753871473278    1.9046970156983656    127730.938684926412    27153.890602898995   -22011.701081124163        20.493        5 
    101.542953600   1.8067287355849002    0.3920131380220460    1.8856970405514857    130227.967731449899    27547.182428043969   -22434.710311120751        20.749        5 
    101.543300822   1.7947271977351600    0.3864463951385663    1.8661338705322725    132767.992613557930    27958.633507215462   -22833.797570915263        21.009        5 
    101.543648218   1.7827333961950567    0.3808768279506916    1.8459660492378720    135404.048741398612    28325.329841578990   -23222.216896302165        21.277        5 
    101.543995440   1.7707607959879013    0.3753152867358214    1.8251820868954385    138065.609164572699    28760.262989004557   -23671.133216319762        21.550        5 
    101.544342662   1.7588041176557276    0.3697644467960362    1.8037373815402107    140795.244370596833    29195.097008139979   -24020.869380208056        21.828        5 
    101.544690069   1.7468581802517693    0.3642276005033294    1.7815841516107089    143555.336493402719    29680.092204648390   -24464.772551860849        22.112        5 
    101.545037292   1.7349364768704691    0.3587172997246970    1.7587076527848926    146417.600283303589    30119.492975865978   -24825.164415296298        22.403        5 
